refit_step,regime,country,feature_set,L,stage,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,22,tuning,1,1.7874036064545715,0.06164406009772971,0.053496755041152595,0.06164406009772971,0.001
0,normal,US,core,22,tuning,2,0.21445142713522275,0.05037310033503221,0.04721766392232872,0.05037310033503221,0.001
0,normal,US,core,22,tuning,3,0.18922030700547435,0.033497141127576346,0.03271062987978044,0.033497141127576346,0.001
0,normal,US,core,22,tuning,4,0.10216104954969275,0.03316916134975034,0.03246173018906192,0.03316916134975034,0.001
0,normal,US,core,22,tuning,5,0.08508261908015581,0.028594317472299968,0.029753266281555057,0.028594317472299968,0.001
0,normal,US,core,22,tuning,6,0.0762522183736105,0.029651284999447084,0.03021833575938059,0.029651284999447084,0.001
0,normal,US,core,22,tuning,7,0.0757200886941729,0.02860515225028703,0.03009143763998516,0.02860515225028703,0.001
0,normal,US,core,22,tuning,8,0.07696679395543929,0.03085380756890246,0.03145996776405766,0.03085380756890246,0.001
0,normal,US,core,22,tuning,9,0.08104382959980491,0.03370550430842219,0.032806058322252495,0.03370550430842219,0.001
0,normal,US,core,22,tuning,10,0.0692142975994388,0.030923085622470637,0.03158024295045453,0.030923085622470637,0.001
0,normal,US,core,22,tuning,11,0.06911771955602035,0.03337981023771682,0.031938452700616814,0.03337981023771682,0.001
0,normal,US,core,22,tuning,12,0.06244394147994449,0.027462517175446902,0.02868372589173053,0.027462517175446902,0.0005
0,normal,US,core,22,tuning,13,0.053445588007232134,0.027397120907513967,0.02883842434704657,0.027397120907513967,0.0005
0,normal,US,core,22,tuning,14,0.051450857511422435,0.028108623447735317,0.030089068999550796,0.028108623447735317,0.0005
0,normal,US,core,22,tuning,15,0.05319062416586108,0.027582996767003907,0.029563280901036007,0.027582996767003907,0.0005
0,normal,US,core,22,tuning,16,0.048806015630427226,0.027221776015125067,0.02921732544177488,0.027221776015125067,0.0005
0,normal,US,core,22,tuning,17,0.05063517864199707,0.0271156688574314,0.029146499780886494,0.0271156688574314,0.0005
0,normal,US,core,22,tuning,18,0.045433451913797905,0.02711260633927588,0.028977677936522152,0.02711260633927588,0.0005
0,normal,US,core,22,tuning,19,0.04832333223048153,0.027559155094835364,0.029411866116105568,0.027559155094835364,0.0005
0,normal,US,core,22,tuning,20,0.0475385201634441,0.02778615465876005,0.029330554889448784,0.02778615465876005,0.0005
0,normal,US,core,22,tuning,21,0.04655952122639921,0.027863168858117862,0.029349993778164444,0.027863168858117862,0.0005
0,normal,US,core,22,tuning,22,0.043891236763504135,0.027712433300622986,0.029614328819036247,0.027712433300622986,0.0005
0,normal,US,core,22,tuning,23,0.0462418276356135,0.02716273819575279,0.028845624858329418,0.02716273819575279,0.0005
0,normal,US,core,22,tuning,24,0.04553347062199996,0.02710153056705542,0.02867114529558439,0.02710153056705542,0.0005
0,normal,US,core,22,tuning,25,0.04406127680944796,0.027795896052186058,0.029691658464992943,0.027795896052186058,0.0005
0,normal,US,core,22,tuning,26,0.04370214931329675,0.02778725953980548,0.029346527785740116,0.02778725953980548,0.0005
0,normal,US,core,22,tuning,27,0.042585739015410656,0.027907643209200955,0.029672693932362697,0.027907643209200955,0.0005
0,normal,US,core,22,tuning,28,0.04102160740512895,0.02790017842274288,0.029644338940472706,0.02790017842274288,0.0005
0,normal,US,core,22,tuning,29,0.03912799295801663,0.027706198318505116,0.02898359318584086,0.027706198318505116,0.0005
0,normal,US,core,22,tuning,30,0.03983951094649966,0.02800094753331102,0.02915697928017425,0.02800094753331102,0.0005
0,normal,US,core,22,tuning,31,0.04101380665322004,0.028271325592717306,0.029849258089519066,0.028271325592717306,0.00025
0,normal,US,core,22,tuning,32,0.04345620307808428,0.028009579815930108,0.02966952292255969,0.028009579815930108,0.00025
0,normal,US,core,22,tuning,33,0.040291080382809534,0.027957585617923834,0.029597922482273796,0.027957585617923834,0.00025
0,normal,US,core,22,tuning,34,0.036245114459067695,0.02815161342976083,0.02949703580850787,0.02815161342976083,0.00025
0,normal,US,core,60,tuning,1,1.542080901693164,0.05814229914445608,0.05007882592941933,0.05814229914445608,0.001
0,normal,US,core,60,tuning,2,0.29966369237122453,0.0372794670111738,0.03571371175348759,0.0372794670111738,0.001
0,normal,US,core,60,tuning,3,0.13104024338540743,0.03214999002037233,0.033186808681270115,0.03214999002037233,0.001
0,normal,US,core,60,tuning,4,0.09703472485556164,0.034601174702228905,0.0327923232726311,0.034601174702228905,0.001
0,normal,US,core,60,tuning,5,0.08843082077661035,0.031177584193775688,0.031356623757026886,0.031177584193775688,0.001
0,normal,US,core,60,tuning,6,0.08251695651490926,0.029708332659075437,0.0302810886057587,0.029708332659075437,0.001
0,normal,US,core,60,tuning,7,0.07451477572143465,0.030686718202518365,0.03060532897239617,0.030686718202518365,0.001
0,normal,US,core,60,tuning,8,0.07488371691055751,0.030975437998617274,0.03087325675390926,0.030975437998617274,0.001
0,normal,US,core,60,tuning,9,0.0789749908235193,0.03400743194149706,0.032846623751898056,0.03400743194149706,0.001
0,normal,US,core,60,tuning,10,0.0667418948350155,0.030645240290960142,0.030974763228370266,0.030645240290960142,0.001
0,normal,US,core,60,tuning,11,0.07259483555643435,0.03532685444619966,0.034006148429491775,0.03532685444619966,0.001
0,normal,US,core,60,tuning,12,0.0687951513305128,0.03495996314800403,0.033331608193606255,0.03495996314800403,0.001
0,normal,US,core,60,tuning,13,0.05822580856511008,0.02777953150606492,0.029260713375162464,0.02777953150606492,0.0005
