epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr,regime,country,L,protocol
26,0.07650567147016199,0.01556318838589791,0.011644961854412418,0.01556318838589791,0.0005,normal,KR,22,static
27,0.08577570862707963,0.01608247560288146,0.01187788361500277,0.01608247560288146,0.0005,normal,KR,22,static
28,0.07259345898276369,0.024585148196113637,0.016450785497417214,0.024585148196113637,0.0005,normal,KR,22,static
29,0.0727102108680307,0.022639164252333397,0.016446946288046778,0.022639164252333397,0.0005,normal,KR,22,static
30,0.07788190457881784,0.015600260686573659,0.012380993657852293,0.015600260686573659,0.0005,normal,KR,22,static
31,0.07115863268076862,0.017088515594711893,0.01361061363923745,0.017088515594711893,0.0005,normal,KR,22,static
32,0.0981279148627296,0.014861367464274034,0.011717141483772973,0.014861367464274034,0.00025,normal,KR,22,static
33,0.07775708873758465,0.013793758983128046,0.010922790016429346,0.013793758983128046,0.00025,normal,KR,22,static
34,0.06581343078259781,0.014623343523588614,0.011481560278134267,0.014623343523588614,0.00025,normal,KR,22,static
35,0.05746118397920312,0.01458284581757396,0.011499950708058036,0.01458284581757396,0.00025,normal,KR,22,static
36,0.05980766434726913,0.01427126448931204,0.011201358056764622,0.01427126448931204,0.00025,normal,KR,22,static
37,0.061177093646769085,0.013165435702710422,0.010349462839362562,0.013165435702710422,0.00025,normal,KR,22,static
38,0.053581413430764245,0.012916160627031648,0.010189371290387677,0.012916160627031648,0.00025,normal,KR,22,static
39,0.055293419386554264,0.012789902128996231,0.010128092127623127,0.012789902128996231,0.00025,normal,KR,22,static
40,0.05766538493807773,0.012928650620718662,0.010273037890552497,0.012928650620718662,0.00025,normal,KR,22,static
41,0.0586856621003719,0.013236115161524223,0.010571981085555964,0.013236115161524223,0.00025,normal,KR,22,static
42,0.062032684303225005,0.013340784990292454,0.010591974443771312,0.013340784990292454,0.00025,normal,KR,22,static
43,0.053247695182758854,0.013302914688732343,0.010661867027338899,0.013302914688732343,0.00025,normal,KR,22,static
44,0.0592212459308095,0.01326935432913336,0.010613680282821421,0.01326935432913336,0.00025,normal,KR,22,static
45,0.061108790887190866,0.013370112558319294,0.010679326478208675,0.013370112558319294,0.00025,normal,KR,22,static
46,0.05534450225033987,0.014540478259203049,0.011465270629488543,0.014540478259203049,0.000125,normal,KR,22,static
47,0.051833092550790834,0.014562408629848788,0.01149645504984455,0.014562408629848788,0.000125,normal,KR,22,static
48,0.05272361241028167,0.013218875347263601,0.010525621870746378,0.013218875347263601,0.000125,normal,KR,22,static
49,0.051161346609078735,0.013119417190688909,0.010466320898200645,0.013119417190688909,0.000125,normal,KR,22,static
1,0.4431386269207173,0.029107898722971537,0.024660311425562766,0.029107898722971537,0.001,normal,KR,60,static
2,0.14403011214043707,0.021092126582646826,0.016381872634662956,0.021092126582646826,0.001,normal,KR,60,static
3,0.12405802858149106,0.022180500214483142,0.01664113830469671,0.022180500214483142,0.001,normal,KR,60,static
4,0.16836211314607966,0.03842000703499384,0.027220445440807303,0.03842000703499384,0.001,normal,KR,60,static
5,0.20456433859849482,0.030240446124204276,0.022958504463561246,0.030240446124204276,0.001,normal,KR,60,static
6,0.09204276753625094,0.023663329678445994,0.017464214676349867,0.023663329678445994,0.001,normal,KR,60,static
7,0.10075999527507128,0.030904617487354992,0.023480306119948138,0.030904617487354992,0.001,normal,KR,60,static
8,0.10876980437901998,0.027060685397781246,0.020693356049109678,0.027060685397781246,0.001,normal,KR,60,static
9,0.13581591898128365,0.03632266077811499,0.028750837459915975,0.03632266077811499,0.0005,normal,KR,60,static
10,0.141652424818797,0.028773667833699817,0.021735070319082894,0.028773667833699817,0.0005,normal,KR,60,static
11,0.15633116506969155,0.02914858786832023,0.02207450472490221,0.02914858786832023,0.0005,normal,KR,60,static
12,0.1423750429421653,0.033348187625550196,0.02605762207483659,0.033348187625550196,0.0005,normal,KR,60,static
1,0.3604530493732629,0.030712039243991192,0.02306344949441855,0.030712039243991192,0.001,normal,KR,252,static
2,0.12734770477594476,0.021089851247308476,0.01652554520329491,0.021089851247308476,0.001,normal,KR,252,static
3,0.09951154017563775,0.034772235692039154,0.027638967469578883,0.034772235692039154,0.001,normal,KR,252,static
4,0.09290026159347722,0.0413786531765841,0.03418354177084126,0.0413786531765841,0.001,normal,KR,252,static
5,0.1094607871440338,0.06022175323466863,0.05606585484547693,0.06022175323466863,0.001,normal,KR,252,static
6,0.10896101924214702,0.0798369946952695,0.082700286854486,0.0798369946952695,0.001,normal,KR,252,static
7,0.17575125376010056,0.10103451782464457,0.11414737975011106,0.10103451782464457,0.001,normal,KR,252,static
8,0.3789518093159973,0.14533541231050107,0.19505854024261723,0.14533541231050107,0.001,normal,KR,252,static
9,0.21366477217823324,0.13900179485418135,0.18435766535704254,0.13900179485418135,0.0005,normal,KR,252,static
10,0.20342655156042036,0.07372414583604689,0.0741039659889018,0.07372414583604689,0.0005,normal,KR,252,static
11,0.10971722878851232,0.06413076493597714,0.06100542965482493,0.06413076493597714,0.0005,normal,KR,252,static
12,0.0986902534762057,0.05235838111164309,0.04710737231080649,0.05235838111164309,0.0005,normal,KR,252,static
1,0.31799515732580214,0.054534109304723216,0.09258065252048284,0.054534109304723216,0.001,normal,JP,22,static
2,0.11139119285481766,0.026408830734729175,0.046454883025966676,0.026408830734729175,0.001,normal,JP,22,static
3,0.07561135423046753,0.021023015959852603,0.045294468144052906,0.021023015959852603,0.001,normal,JP,22,static
4,0.05841225796379796,0.024159798924130588,0.050328072876884386,0.024159798924130588,0.001,normal,JP,22,static
5,0.052479040231024995,0.019111671999900243,0.052323684096336365,0.019111671999900243,0.001,normal,JP,22,static
6,0.04952055075004583,0.021114645852427623,0.0472232460870072,0.021114645852427623,0.001,normal,JP,22,static
7,0.05263427195292616,0.022738750797817547,0.051587965083025725,0.022738750797817547,0.001,normal,JP,22,static
8,0.05028734110875665,0.025093240752740952,0.06189308362270174,0.025093240752740952,0.001,normal,JP,22,static
9,0.054111072133457686,0.09285210122431731,0.10693449080593673,0.09285210122431731,0.001,normal,JP,22,static
10,0.05112562696834543,0.02403016163160944,0.060148183346880595,0.02403016163160944,0.001,normal,JP,22,static
11,0.05358382599600452,0.027358111349267335,0.07185106691319933,0.027358111349267335,0.001,normal,JP,22,static
12,0.057126177790690576,0.02423543400908735,0.05303406688245202,0.02423543400908735,0.0005,normal,JP,22,static
13,0.04651592083953585,0.021837307376199593,0.0498168494567456,0.021837307376199593,0.0005,normal,JP,22,static
14,0.04186987973066193,0.020740194499048095,0.054831889431606905,0.020740194499048095,0.0005,normal,JP,22,static
15,0.04184312380518948,0.022630925008183905,0.05978244583797358,0.022630925008183905,0.0005,normal,JP,22,static
1,0.3844304666762621,0.07456556203342952,0.11206087023623076,0.07456556203342952,0.001,normal,JP,60,static
2,0.1446481366077779,0.023513412002905933,0.04509782794154125,0.023513412002905933,0.001,normal,JP,60,static
3,0.07033182593508505,0.021794760554788243,0.04153666020133476,0.021794760554788243,0.001,normal,JP,60,static
4,0.06379773730648236,0.018942623490869167,0.04109814614510005,0.018942623490869167,0.001,normal,JP,60,static
5,0.06008397347070801,0.02048283391901902,0.04756244837574148,0.02048283391901902,0.001,normal,JP,60,static
6,0.05614701772344784,0.017731493928811244,0.039429757351938044,0.017731493928811244,0.001,normal,JP,60,static
7,0.05443658188615047,0.019406924250467597,0.05370380239267098,0.019406924250467597,0.001,normal,JP,60,static
8,0.08405479267239571,0.07809982401454575,0.1212664425433406,0.07809982401454575,0.001,normal,JP,60,static
9,0.09466963479111731,0.05190086279533584,0.09992169124274118,0.05190086279533584,0.001,normal,JP,60,static
10,0.0674821115295652,0.023225084557101375,0.04359821963165453,0.023225084557101375,0.001,normal,JP,60,static
11,0.06763607478687461,0.016678079633698762,0.0377448491887887,0.016678079633698762,0.001,normal,JP,60,static
12,0.05914141852670992,0.020836559923246525,0.0587694260634874,0.020836559923246525,0.001,normal,JP,60,static
13,0.052109975307445294,0.02905256930644428,0.06390529928299096,0.02905256930644428,0.001,normal,JP,60,static
14,0.04694767109000347,0.018777083854509238,0.0473083178041435,0.018777083854509238,0.001,normal,JP,60,static
15,0.04713789543897753,0.019433702147027884,0.0547360837127757,0.019433702147027884,0.001,normal,JP,60,static
16,0.04594154971402506,0.01859536774631922,0.04475128600140091,0.01859536774631922,0.001,normal,JP,60,static
17,0.045146000894232534,0.018143319731665022,0.04773590733346186,0.018143319731665022,0.001,normal,JP,60,static
18,0.043863063376449365,0.017594457165075045,0.046831438250025274,0.017594457165075045,0.0005,normal,JP,60,static
19,0.042624057246975496,0.019456685837744063,0.05143745883786485,0.019456685837744063,0.0005,normal,JP,60,static
20,0.04162936532266543,0.021276068835269907,0.05164613808516549,0.021276068835269907,0.0005,normal,JP,60,static
21,0.03854261346318772,0.022196223397100742,0.048102933008540495,0.022196223397100742,0.0005,normal,JP,60,static
1,0.3892847675931418,0.09544481852665489,0.15639753537139428,0.09544481852665489,0.001,normal,JP,252,static
2,0.11745328522003129,0.05228220458133537,0.10493046223272678,0.05228220458133537,0.001,normal,JP,252,static
3,0.10416650810923281,0.049433165414168756,0.09159798645659496,0.049433165414168756,0.001,normal,JP,252,static
4,0.09256301253606365,0.039926917090511674,0.07758767519764571,0.039926917090511674,0.001,normal,JP,252,static
5,0.06812452950326338,0.020859427024187093,0.04194809224169988,0.020859427024187093,0.001,normal,JP,252,static
6,0.08146230206793889,0.040205953213884996,0.06680951985391045,0.040205953213884996,0.001,normal,JP,252,static
7,0.09095385564868183,0.04046971863239019,0.09589988131996108,0.04046971863239019,0.001,normal,JP,252,static
8,0.09362964562261393,0.02804744371515846,0.06371022110827539,0.02804744371515846,0.001,normal,JP,252,static
9,0.05358975056525084,0.017512977943499514,0.0417108448063917,0.017512977943499514,0.001,normal,JP,252,static
10,0.058227488658534436,0.02531570151380432,0.06820296048213113,0.02531570151380432,0.001,normal,JP,252,static
11,0.05217490053181382,0.024049232803707816,0.05798393097302692,0.024049232803707816,0.001,normal,JP,252,static
12,0.05691564813526375,0.01837927366066464,0.04787291383544202,0.01837927366066464,0.001,normal,JP,252,static
13,0.047741972799117474,0.01615941809659375,0.04105438788229155,0.01615941809659375,0.001,normal,JP,252,static
14,0.0502462684095266,0.017095565691635832,0.041348662642151236,0.017095565691635832,0.001,normal,JP,252,static
15,0.04401313815704826,0.01955103422941499,0.04386698784917473,0.01955103422941499,0.001,normal,JP,252,static
16,0.04927724079873266,0.019888936330372683,0.05338953020661949,0.019888936330372683,0.001,normal,JP,252,static
17,0.049756217736672055,0.01919587584934742,0.050829616311168384,0.01919587584934742,0.001,normal,JP,252,static
18,0.059815861357888064,0.01964679191921079,0.050998050515890604,0.01964679191921079,0.001,normal,JP,252,static
19,0.048270009379282455,0.016699469299717957,0.04476562443260963,0.016699469299717957,0.001,normal,JP,252,static
20,0.04828486811043273,0.027924318026880113,0.06544900843911325,0.027924318026880113,0.0005,normal,JP,252,static
21,0.041453295131284304,0.01639314130923581,0.04457711835621822,0.01639314130923581,0.0005,normal,JP,252,static
22,0.03980190732890566,0.01862730039919703,0.048956880979390764,0.01862730039919703,0.0005,normal,JP,252,static
23,0.04123462318214855,0.015568125741223692,0.04089552038895939,0.015568125741223692,0.0005,normal,JP,252,static
24,0.03783580549398938,0.016482146073438796,0.04517363261446538,0.016482146073438796,0.0005,normal,JP,252,static
25,0.038177203468618255,0.015910719139806972,0.0416713817806741,0.015910719139806972,0.0005,normal,JP,252,static
26,0.03851371793093278,0.01507639559853133,0.040655101985040944,0.01507639559853133,0.0005,normal,JP,252,static
27,0.040242477421426524,0.015189918217275543,0.041607121420413375,0.015189918217275543,0.0005,normal,JP,252,static
28,0.03850986064605843,0.015044378603782192,0.04038953787914896,0.015044378603782192,0.0005,normal,JP,252,static
29,0.03752191669766276,0.014840272855585741,0.03818305455872163,0.014840272855585741,0.0005,normal,JP,252,static
30,0.035530273698472906,0.015450347169099316,0.03747351524167457,0.015450347169099316,0.0005,normal,JP,252,static
31,0.03954451814789066,0.01898184491779018,0.05399749713086406,0.01898184491779018,0.0005,normal,JP,252,static
32,0.04055691774360543,0.015572660754896063,0.04061733357427333,0.015572660754896063,0.0005,normal,JP,252,static
33,0.038272101055054145,0.014545861621601774,0.036281606174914945,0.014545861621601774,0.0005,normal,JP,252,static
34,0.034917647747767476,0.018861959322216633,0.04787642375268193,0.018861959322216633,0.0005,normal,JP,252,static
35,0.03695252443188267,0.01593547101472093,0.041567086034759816,0.01593547101472093,0.0005,normal,JP,252,static
36,0.035861052541776905,0.017547726089692992,0.04564745546985976,0.017547726089692992,0.0005,normal,JP,252,static
37,0.03799973703425637,0.021460100685551188,0.05800318273033208,0.021460100685551188,0.0005,normal,JP,252,static
38,0.037709876048038195,0.016326501562468912,0.043142587527150084,0.016326501562468912,0.0005,normal,JP,252,static
39,0.03847627874092393,0.023167204359137727,0.06104969295111262,0.023167204359137727,0.0005,normal,JP,252,static
