regime,country,L,protocol,refit_step,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
normal,US,60,expanding,0,1,0.49776537186285646,0.0553420916030821,0.05126605327839054,0.0553420916030821,0.001
normal,US,60,expanding,0,2,0.3413849043140689,0.04479299663773664,0.04076437324517432,0.04479299663773664,0.001
normal,US,60,expanding,0,3,0.13922710111987735,0.05738740841801924,0.049330901832895985,0.05738740841801924,0.001
normal,US,60,expanding,0,4,0.13152646014457298,0.052450690619174595,0.04841509960040972,0.052450690619174595,0.001
normal,US,60,expanding,0,5,0.1254134401857955,0.04963547850974562,0.03933772071471242,0.04963547850974562,0.001
normal,US,60,expanding,0,6,0.2181802529822492,0.051478044220038564,0.04498224551082817,0.051478044220038564,0.001
normal,US,60,expanding,0,7,0.12050084340838176,0.040158318841392135,0.039105821850234895,0.040158318841392135,0.001
normal,US,60,expanding,0,8,0.09392616417048112,0.03948551717942127,0.03654138344894471,0.03948551717942127,0.001
normal,US,60,expanding,0,9,0.0880071773383875,0.05632582845583364,0.05120270275275299,0.05632582845583364,0.001
normal,US,60,expanding,0,10,0.0781151108022006,0.03378593540189664,0.03196025210711743,0.03378593540189664,0.001
normal,US,60,expanding,0,11,0.08267018096217978,0.03796013706509503,0.03513415738693819,0.03796013706509503,0.001
normal,US,60,expanding,0,12,0.07849536247257508,0.03012380769647241,0.03009333426009588,0.03012380769647241,0.001
normal,US,60,expanding,0,13,0.07926143194144626,0.0344873684294991,0.03453703915359677,0.0344873684294991,0.001
normal,US,60,expanding,0,14,0.07024102122051638,0.03367699090572312,0.03240000064836286,0.03367699090572312,0.001
normal,US,60,expanding,0,15,0.0760651203872409,0.045851772262590726,0.041961944042360734,0.045851772262590726,0.001
normal,US,60,expanding,0,16,0.07671075219968988,0.03233773139689553,0.03110267016819247,0.03233773139689553,0.001
normal,US,60,expanding,0,17,0.07560204900353891,0.032255868259075,0.032433572671002914,0.032255868259075,0.001
normal,US,60,expanding,0,18,0.0865918894676974,0.04150261891987347,0.03440739147741971,0.04150261891987347,0.001
normal,US,60,expanding,0,19,0.08363974774783513,0.034267235436724934,0.0332870674736305,0.034267235436724934,0.0005
normal,US,60,expanding,0,20,0.06788726946910904,0.03593860635100129,0.03390746579980224,0.03593860635100129,0.0005
normal,US,60,expanding,0,21,0.06414000461993045,0.031952764046331635,0.03146087685201303,0.031952764046331635,0.0005
normal,US,60,expanding,0,22,0.06502448610744183,0.03351462523328472,0.03272747060334752,0.03351462523328472,0.0005
normal,US,60,expanding,1,1,0.4961334751133704,0.05263441664256198,0.046656894128286865,0.05263441664256198,0.001
normal,US,60,expanding,1,2,0.3224599185370488,0.04325675935514298,0.03815969415873693,0.04325675935514298,0.001
normal,US,60,expanding,1,3,0.13831497828436742,0.056206217992119556,0.0465176973088394,0.056206217992119556,0.001
normal,US,60,expanding,1,4,0.13142214939099867,0.04254740833713078,0.03976569151797654,0.04254740833713078,0.001
normal,US,60,expanding,1,5,0.12042724159209497,0.051752922574608194,0.03923245756103291,0.051752922574608194,0.001
normal,US,60,expanding,1,6,0.21210861986688506,0.04696226036481664,0.04082616852376632,0.04696226036481664,0.001
normal,US,60,expanding,1,7,0.11785122487912562,0.038179703835951186,0.03515992641838076,0.038179703835951186,0.001
normal,US,60,expanding,1,8,0.09409343791772366,0.035041070752188826,0.03130703403594646,0.035041070752188826,0.001
normal,US,60,expanding,1,9,0.0914254136698633,0.05066024986441731,0.04384077904201914,0.05066024986441731,0.001
normal,US,60,expanding,1,10,0.07726349446815814,0.033441904268715586,0.029560303059721824,0.033441904268715586,0.001
normal,US,60,expanding,1,11,0.08412540333007562,0.03514017180490539,0.030913357145551094,0.03514017180490539,0.001
normal,US,60,expanding,1,12,0.08088857396969529,0.030936989072807848,0.02900169037527457,0.030936989072807848,0.001
normal,US,60,expanding,1,13,0.08743481427471765,0.03375161478621839,0.03283402337773741,0.03375161478621839,0.001
normal,US,60,expanding,1,14,0.07582409133039425,0.0367015896997274,0.03198489823110214,0.0367015896997274,0.001
normal,US,60,expanding,1,15,0.06896302537004098,0.03239898657482953,0.029219781497143917,0.03239898657482953,0.001
normal,US,60,expanding,1,16,0.07285376267169702,0.03260070966611747,0.029726912503489213,0.03260070966611747,0.001
normal,US,60,expanding,1,17,0.08006044960038236,0.03227209941784524,0.030781585539419138,0.03227209941784524,0.001
