date,RV_target,RV_d,RV_w,RV_m,log_return,neg_return,semivariance,parkinson_rv,hl_range,log_volume,implied_vol,fx_level,fx_change,rate_3y,rate_10y,rate_spread,policy_rate,gold_chg,crb_chg,wti_chg,natgas_chg,corn_chg,spillover_SP500,spillover_Nikkei,epu,weekday_sin,weekday_cos,momentum_1w,momentum_1m,momentum_3m,momentum_6m,US_RV_target,US_RV_d,US_RV_w,US_RV_m,US_log_return,US_neg_return,US_semivariance,US_parkinson_rv,US_hl_range,US_log_volume,US_implied_vol,US_fx_level,US_fx_change,US_rate_3y,US_rate_10y,US_rate_spread,US_policy_rate,US_gold_chg,US_crb_chg,US_wti_chg,US_natgas_chg,US_corn_chg,US_spillover_Nikkei,US_spillover_KOSPI,US_epu,US_weekday_sin,US_weekday_cos,US_momentum_1w,US_momentum_1m,US_momentum_3m,US_momentum_6m,split
2000-06-13,2.40227438144709,2.82092600785664,2.883325222350072,2.549160830541972,-0.05013593399748606,-0.05013593399748606,0.002513611877800278,0.0006596881240008489,0.04347069426316106,28.87297473043028,,1113.4,-0.00197203298673343,8.71,3.58,-5.130000000000001,5.0,-0.003459010722933198,0.008641271616622204,0.02583490863264037,-0.01282051282051266,-0.002400960384153716,-0.007544085797739263,-0.007555804008174377,85.76241873364768,0.9510565162951535,0.3090169943749475,0.0129,0.0867,-0.0587,-0.2064,0.7310079166219987,0.8716609040355149,0.8901748821247129,1.261720480285111,-0.007544085797739263,-0.007544085797739263,5.691323052365124e-05,4.898366330874646e-05,0.01172199170124484,17.56205097553561,22.32,106.97,-0.0001869333582577015,6.481,6.06879,-0.41221,6.5,0.009427374301676172,0.005999166932635136,0.05099337748344368,0.01249999999999996,-0.05017103762827824,-0.01010478990373486,0.04435774933880968,85.76241873364768,0.0,1.0,-0.0147,0.0176,0.0365,0.0204,train
2000-06-14,3.008154823554798,2.40227438144709,3.075379995554765,2.608693837449877,0.01825488575637282,0.0,0.0,0.0004607401139626168,0.03518986414735074,28.96587164501488,,1114.5,0.0009879647925272739,8.71,3.58,-5.130000000000001,5.0,0.02117320374869824,0.0003465280554444394,0.008906633906633932,0.02356902356902357,-0.02166064981949456,0.01608025209232765,0.004386957336651259,85.76241873364768,0.5877852522924732,-0.8090169943749473,-0.004,0.1067,-0.03240000000000001,-0.1829,0.8723366396062927,0.7310079166219987,0.8254139576697443,1.219809736994167,0.01608025209232765,0.0,0.0,0.0001337014315192028,0.01908209930313586,17.78102334740947,21.67,106.4,-0.005328596802841812,6.475,6.10796,-0.3670399999999994,6.5,-0.003459010722933198,0.008641271616622204,0.02583490863264037,-0.01282051282051266,-0.002400960384153716,-0.007555804008174377,0.0111877805400516,85.76241873364768,0.9510565162951535,0.3090169943749475,0.008,0.0341,0.062,0.0383,train
2000-06-15,2.579431779640431,3.008154823554798,3.120128357822588,2.669333060203573,-0.060790179236055,-0.060790179236055,0.003695445891551693,0.001107866981310451,0.05696867501134958,28.72066564752639,,1115.2,0.0006280843427546312,8.71,3.58,-5.130000000000001,5.0,-0.007138001359619173,0.0006235344276275256,0.003044140030441511,0.04863721804511267,0.01230012300123007,0.0007483044451523544,-0.001812755322790978,85.76241873364768,-0.587785252292473,-0.8090169943749476,-0.0364,0.058,-0.0795,-0.1999,0.9514068370037372,0.8723366396062927,0.8295101541341865,1.19565206299414,0.0007483044451523544,0.0,0.0,4.192641873008783e-05,0.01081915486827958,17.82080072073779,21.48,106.46,0.0005639097744358779,6.404,6.04958,-0.3544200000000002,6.5,0.02117320374869824,0.0003465280554444394,0.008906633906633932,0.02356902356902357,-0.02166064981949456,0.004386957336651259,-0.05013593399748606,85.76241873364768,0.5877852522924732,-0.8090169943749473,-0.0006,0.0349,0.08199999999999999,0.048,train
2000-06-16,2.95113295535884,2.579431779640431,2.90019525087147,2.718713868897921,-0.01556904368811053,-0.01556904368811053,0.0002423951213622942,0.0002799303472680444,0.02806176222596959,28.52103481067444,,1114.6,-0.0005380200860833906,8.72,3.58,-5.140000000000001,5.0,-0.003081136597055889,-0.01107282285081257,-0.01881638846737499,0.005601613264620386,0.007290400972053357,0.00555393100834208,-0.01698724219761821,85.76241873364768,-0.9510565162951536,0.3090169943749472,-0.0925,0.0164,-0.0977,-0.1998,0.9022310373561648,0.9514068370037372,0.8429975715521756,1.197134487525324,0.00555393100834208,0.0,0.0,5.042209702986128e-05,0.01178037910910043,17.87821044536439,20.68,106.88,0.003945143715949673,6.411,6.04733,-0.3636699999999999,6.5,-0.007138001359619173,0.0006235344276275256,0.003044140030441511,0.04863721804511267,0.01230012300123007,-0.001812755322790978,0.01825488575637282,85.76241873364768,-0.587785252292473,-0.8090169943749476,0.0117,0.0182,0.0622,0.0463,train
2000-06-19,2.769995182320721,2.95113295535884,2.75238398957156,2.757694185282724,-0.004833543040575763,-0.004833543040575763,2.336313832509839e-05,0.000647110694847666,0.04266726680611085,28.4090451469965,,1116.5,0.001704647407141602,8.7,3.58,-5.119999999999999,5.0,-0.01098901098901095,-0.01078749232542353,-0.01979585524280847,-0.09469696969696983,-0.008443908323281013,-0.009697037445887773,-0.01676106632693738,85.76241873364768,0.0,1.0,-0.1069,0.0338,-0.1171,-0.2042,0.7195791653866362,0.9022310373561648,0.8657286669247417,1.197651437085906,-0.009697037445887773,-0.009697037445887773,9.403253522694967e-05,6.906707521986634e-05,0.01389590702374931,18.05275542058626,20.5,105.96,-0.008607784431137744,6.335,5.97541,-0.3595899999999999,6.5,-0.003081136597055889,-0.01107282285081257,-0.01881638846737499,0.005601613264620386,0.007290400972053357,-0.01698724219761821,-0.060790179236055,85.76241873364768,-0.9510565162951536,0.3090169943749472,0.0052,-0.0011,0.004099999999999999,0.0322,train
2000-06-20,1.665592549093865,2.769995182320721,2.742197824464376,2.767088197354449,0.03887034414187289,0.0,0.0,0.0002483675104442396,0.02590026995364951,28.5917906360953,,1119.0,0.00223914017017468,8.7,3.58,-5.119999999999999,5.0,0.0003472222222222765,0.008999591670069362,0.04291574629220563,0.01082943637706135,-0.01581508515815089,0.01460137245906041,0.001429409420921973,85.76241873364768,0.9510565162951535,0.3090169943749475,-0.0238,0.0748,-0.0766,-0.1879,0.7382492133916073,0.7195791653866362,0.835312319194966,1.161770433749143,0.01460137245906041,0.0,0.0,0.0001482232751876384,0.02010767160161515,17.84735599539899,20.63,106.33,0.003491883729709322,6.366,6.00064,-0.3653599999999999,6.5,-0.01098901098901095,-0.01078749232542353,-0.01979585524280847,-0.09469696969696983,-0.008443908323281013,-0.01676106632693738,-0.01556904368811053,85.76241873364768,0.0,1.0,0.0277,0.0561,0.0147,0.0457,train
2000-06-21,2.11015907142874,1.665592549093865,2.594861457993731,2.734684995585634,-0.004402791713912853,-0.004402791713912853,1.938457487609968e-05,0.0002033765521610827,0.0239937585532123,28.93281993269625,,1119.8,0.000714924039320719,8.68,3.58,-5.1,5.0,0.0,0.01098053181386516,-0.05083207261724654,0.06598490382274158,0.006180469715698411,-0.006786096029822302,0.01598067198834987,85.76241873364768,0.5877852522924732,-0.8090169943749473,-0.0457,0.0701,-0.0944,-0.1845,0.9416037702200089,0.7382492133916073,0.8367605785488876,1.136368869191728,-0.006786096029822302,-0.006786096029822302,4.605109932597001e-05,4.845698537285049e-05,0.0116128595142111,17.9249889054143,20.88,106.33,0.0,6.391,6.01949,-0.3715099999999998,6.5,0.0003472222222222765,0.008999591670069362,0.04291574629220563,0.01082943637706135,-0.01581508515815089,0.001429409420921973,-0.004833543040575763,85.76241873364768,0.9510565162951535,0.3090169943749475,0.0044,0.049,0.0133,0.0408,train
2000-06-22,2.405962436568576,2.11015907142874,2.415262307568519,2.699487271159505,0.00047311251369998,0.0,0.0,0.0006387092764469959,0.04236551442012694,28.73255180857669,,1119.1,-0.0006251116270763468,8.63,3.58,-5.050000000000001,5.0,-0.003123915307185143,0.01364730496416033,0.02613962384443735,0.03951576062128836,-0.003685503685503688,0.002152226828039254,0.01645642204249498,85.76241873364768,-0.587785252292473,-0.8090169943749476,0.0146,0.131,-0.1135,-0.1918,0.9532002942371504,0.9416037702200089,0.850614004671631,1.139573506257751,0.002152226828039254,0.0,0.0,3.337690441220705e-05,0.009593477246759956,17.88752507055748,20.61,107.43,0.01034515188563923,6.475,6.10419,-0.3708099999999996,6.5,0.0,0.01098053181386516,-0.05083207261724654,0.06598490382274158,0.006180469715698411,0.01598067198834987,0.03887034414187289,85.76241873364768,0.5877852522924732,-0.8090169943749473,0.0058,0.0513,-0.009899999999999999,0.0319,train
2000-06-23,1.372855645304706,2.405962436568576,2.380568438954149,2.709088619048291,-0.004227577748769777,-0.004227577748769777,1.787241362189334e-05,6.835616940190252e-05,0.01367242663106284,28.32661978912342,,1118.8,-0.0002680725583057431,8.57,3.58,-4.99,5.0,-0.00835654596100266,-0.008935341196293023,0.001863932898415799,-0.02263238848604698,-0.01602959309494456,-0.01838820143229772,0.01795603278170913,85.76241873364768,-0.9510565162951536,0.3090169943749472,0.0262,0.1459,-0.1022,-0.2004,0.9818456076178872,0.9532002942371504,0.8509726961183135,1.115918042472615,-0.01838820143229772,-0.01838820143229772,0.000338125951914756,0.0001532688938359662,0.02076877522070272,17.85597699185172,22.0,107.71,0.002606348319835972,6.464,6.10842,-0.3555800000000007,6.5,-0.003123915307185143,0.01364730496416033,0.02613962384443735,0.03951576062128836,-0.003685503685503688,0.01645642204249498,-0.004402791713912853,85.76241873364768,-0.587785252292473,-0.8090169943749476,-0.018,0.0367,-0.0323,0.0112,train
2000-06-26,1.299534489787401,1.372855645304706,2.064912976943321,2.640564862747556,0.01605902743822084,0.0,0.0,0.000139862744808566,0.01958183311224812,28.45992221746612,,1119.7,0.0008044333214158872,8.58,3.58,-5.0,5.0,0.002457865168539186,-0.006779192766027564,-0.01922480620155043,0.02517985611510776,-0.02631578947368418,-0.00739551209776886,-0.01009794343756263,85.76241873364768,0.0,1.0,0.0479,0.2054,-0.1099,-0.2018,0.910072867339973,0.9818456076178872,0.8668956101706581,1.079162472192638,-0.00739551209776886,-0.00739551209776886,5.469359918824556e-05,8.035853589222173e-05,0.01500541110525301,17.6555375769951,22.34,108.01,0.002785256707826589,6.533,6.18521,-0.3477900000000007,6.5,-0.00835654596100266,-0.008935341196293023,0.001863932898415799,-0.02263238848604698,-0.01602959309494456,0.01795603278170913,0.00047311251369998,85.76241873364768,-0.9510565162951536,0.3090169943749472,-0.0157,0.0492,-0.0562,-0.0116,train
