date,RV_target,RV_d,RV_w,RV_m,log_return,neg_return,semivariance,parkinson_rv,hl_range,log_volume,implied_vol,fx_level,fx_change,rate_3y,rate_10y,rate_spread,policy_rate,gold_chg,crb_chg,wti_chg,natgas_chg,corn_chg,spillover_SP500,spillover_KOSPI,epu,weekday_sin,weekday_cos,momentum_1w,momentum_1m,momentum_3m,momentum_6m,US_RV_target,US_RV_d,US_RV_w,US_RV_m,US_log_return,US_neg_return,US_semivariance,US_parkinson_rv,US_hl_range,US_log_volume,US_implied_vol,US_fx_level,US_fx_change,US_rate_3y,US_rate_10y,US_rate_spread,US_policy_rate,US_gold_chg,US_crb_chg,US_wti_chg,US_natgas_chg,US_corn_chg,US_spillover_Nikkei,US_spillover_KOSPI,US_epu,US_weekday_sin,US_weekday_cos,US_momentum_1w,US_momentum_1m,US_momentum_3m,US_momentum_6m,split
2000-01-26,0.7566028413572202,1.45616837348639,1.056519291389676,1.137556500029358,-0.001137225293146595,-0.001137225293146595,1.293281367372359e-06,2.638577182539581e-05,0.008589881366289553,,,105.69,-0.002642257242615798,0.51,1.651,1.141,0.0,-0.0003489183531054652,-0.007336673802035398,-0.01555869872701565,-0.03555045871559637,-0.01978021978021982,0.006046483729051793,-0.03911411201815879,60.74466767119721,0.5877852522924732,-0.8090169943749473,0.004500000000000001,0.0283,0.0815,0.0926,1.32797842907368,1.436860981167976,1.00043179101164,1.141699010934713,0.006046483729051793,0.0,0.0,0.0001219717152445105,0.01827620688921511,17.98645843052348,23.02,102.41,0.002054794520547798,6.466,6.69141,0.2254100000000001,5.5,-0.00520652551197498,0.008867601283690796,0.01616960114983845,0.03481012658227844,0.001100110011001076,-0.00614681367386923,0.001738727063775572,60.74466767119721,0.9510565162951535,0.3090169943749475,-0.031,-0.0331,0.09,0.0391,train
2000-01-27,0.906662675148552,0.7566028413572202,1.026288536381721,1.113746896362349,0.007494445759114039,0.0,0.0,7.013074208874245e-05,0.01392897477726197,,,105.15,-0.005109281862049286,0.51,1.652,1.142,0.0,0.002094240837696493,-0.004270698430864583,-0.01867816091954022,0.0344827586206895,0.0123318385650224,-0.004221574646237659,-0.00639368215117562,60.74466767119721,-0.587785252292473,-0.8090169943749476,0.0062,0.0357,0.1051,0.1,0.8271323809858123,1.32797842907368,1.065355611217567,1.153341474568399,-0.004221574646237659,-0.004221574646237659,1.782169249375662e-05,2.799530529513757e-05,0.008824220669615105,18.00633655879923,23.03,102.44,0.000292940142564202,6.48,6.6639,0.1838999999999995,5.5,-0.0003489183531054652,-0.007336673802035398,-0.01555869872701565,-0.03555045871559637,-0.01978021978021982,0.006646822894982361,-0.03911411201815879,60.74466767119721,0.5877852522924732,-0.8090169943749473,-0.0356,-0.0372,0.0953,0.0418,train
2000-01-28,0.8925930542102632,0.906662675148552,0.9797706375119984,1.101565471585067,0.00705457433257445,0.0,0.0,0.0001228515750370302,0.01860443383001922,,,107.08,0.01835473133618626,0.5,1.68,1.18,0.0,-0.0142807384186695,-0.003853459644537982,-0.003660322108345548,-0.02988505747126435,-0.009966777408637828,-0.003946270263199617,0.0264004590527665,60.74466767119721,-0.9510565162951536,0.3090169943749472,0.0203,0.0347,0.1161,0.1055,1.376800636702351,0.8271323809858123,1.094040774380461,1.134152704357658,-0.003946270263199617,-0.003946270263199617,1.557304899021357e-05,0.0002717622054495849,0.02747111314494914,18.02821916198896,23.54,103.17,0.0071261226083561,6.547,6.67785,0.1308500000000006,5.5,0.002094240837696493,-0.004270698430864583,-0.01867816091954022,0.0344827586206895,0.0123318385650224,-0.001137225293146595,-0.00639368215117562,60.74466767119721,-0.587785252292473,-0.8090169943749476,-0.0325,-0.04019999999999999,0.0785,0.0262,train
2000-01-31,0.8636607627654345,0.8925930542102632,0.940098934504513,1.089955892842022,0.005906410414328431,0.0,0.0,9.540865881089166e-05,0.0162698515104438,,,107.36,0.002614867388868181,0.56,1.735,1.175,0.0,0.0007067137809186885,0.004730702196527492,0.01542983100661277,0.05134281200631907,-0.01565995525727071,-0.02784079596312897,0.03505680725466924,60.74466767119721,0.0,1.0,0.0167,0.032,0.08900000000000001,0.09390000000000001,1.680664733272225,1.376800636702351,1.146776951695063,1.147633145043475,-0.02784079596312897,-0.02784079596312897,0.0007751099198605782,0.0003421652599302086,0.03118750735207611,17.99123698463524,26.14,104.48,0.01269748958030448,6.601,6.63692,0.03591999999999995,5.5,-0.0142807384186695,-0.003853459644537982,-0.003660322108345548,-0.02988505747126435,-0.009966777408637828,0.007494445759114039,0.0264004590527665,60.74466767119721,-0.9510565162951536,0.3090169943749472,-0.0563,-0.0669,0.0132,-0.0038,train
2000-02-01,1.057064978528283,0.8636607627654345,0.9751375413935719,1.078045622837991,0.008306011495841207,0.0,0.0,7.870112258519506e-05,0.01467596881766118,,,107.79,0.004005216095380071,0.59,1.77,1.18,0.0,0.007768361581920846,0.008455829021807526,0.02098408104196814,0.01389932381667913,0.009090909090909038,0.024904903670927,0.002344144691997958,65.06198311460845,0.9510565162951535,0.3090169943749475,0.0339,0.0258,0.0793,0.0874,1.407692886274915,1.680664733272225,1.329887432240409,1.175687439160777,0.024904903670927,0.0,0.0,0.0003765971616707295,0.03179725485134025,17.9737301346896,24.95,105.13,0.006221286370597268,6.649,6.66245,0.01344999999999974,5.5,0.0007067137809186885,0.004730702196527492,0.01542983100661277,0.05134281200631907,-0.01565995525727071,0.00705457433257445,0.03505680725466924,60.74466767119721,0.0,1.0,-0.005,-0.0509,0.0231,0.0495,train
2000-02-02,1.263671559563244,1.057064978528283,0.8953168624019506,1.076996590622506,-0.0007373460996142649,-0.0007373460996142649,5.436792706163695e-07,0.0001062284404324923,0.01730994811062204,,,108.11,0.002968735504221165,0.635,1.854,1.219,0.0,0.008058864751226302,-0.008175154482849556,-0.02374202693125438,0.02223045572434246,-0.005630630630630629,0.01057169211422985,-0.01615944338920434,65.06198311460845,0.5877852522924732,-0.8090169943749473,0.0215,0.034,0.0882,0.0984,1.035230698878757,1.407692886274915,1.324053813261797,1.187287711516484,0.01057169211422985,0.0,0.0,0.0001429062320710418,0.01975476839237051,17.93001752131828,23.45,104.92,-0.00199752687149235,6.629,6.6143,-0.01469999999999949,5.5,0.007768361581920846,0.008455829021807526,0.02098408104196814,0.01389932381667913,0.009090909090909038,0.005906410414328431,0.002344144691997958,65.06198311460845,0.9510565162951535,0.3090169943749475,-0.0005,-0.0408,0.0407,0.06059999999999999,train
2000-02-03,0.8308582342969955,1.263671559563244,0.9967306060431553,1.085885874857779,0.006438508151052748,0.0,0.0,4.905228136023994e-05,0.01173021721870499,,,107.56,-0.00508741097030796,0.635,1.869,1.234,0.0,0.00764685436218282,0.005347981363644561,0.01742286751361166,-0.03624501631025734,-0.01245753114382786,-0.0001135395970565019,0.01585215373450057,65.06198311460845,-0.587785252292473,-0.8090169943749476,0.0228,0.045,0.09970000000000001,0.1011,1.037427379118173,1.035230698878757,1.265504267222812,1.180046901390878,-0.0001135395970565019,-0.0001135395970565019,1.289124009975281e-08,5.434207708835412e-05,0.01229845577381623,17.93905343593944,23.12,104.79,-0.00123903926801372,6.636,6.5663,-0.0697000000000001,5.75,0.008058864751226302,-0.008175154482849556,-0.02374202693125438,0.02223045572434246,-0.005630630630630629,0.008306011495841207,-0.01615944338920434,65.06198311460845,0.5877852522924732,-0.8090169943749473,0.0036,-0.0409,0.0455,0.061,train
2000-02-04,0.6903475830685264,0.8308582342969955,0.981569717872844,1.074293709377743,0.01102388513072232,0.0,0.0,6.158160046278402e-05,0.01307698502984974,,,107.16,-0.003718854592785426,0.585,1.834,1.249,0.0,0.07968264918937562,0.01695037507212915,0.02818408847663223,0.03121474238435518,0.008027522935779796,0.01118536479241293,0.007001786965220107,65.06198311460845,-0.9510565162951536,0.3090169943749472,0.0222,0.04,0.0771,0.1175,1.363487174168133,1.037427379118173,1.307563266849284,1.173564195833028,0.01118536479241293,0.0,0.0,0.0001370577608441617,0.0193197049762451,17.99767170574189,22.01,103.8,-0.009447466361294121,6.556,6.43902,-0.1169799999999999,5.75,0.00764685436218282,0.005347981363644561,0.01742286751361166,-0.03624501631025734,-0.01245753114382786,-0.0007373460996142649,0.01585215373450057,65.06198311460845,-0.587785252292473,-0.8090169943749476,0.0189,-0.0208,0.0517,0.07769999999999999,train
2000-02-07,0.6966931405411517,0.6903475830685264,0.9411206236444964,1.03991727759987,-0.001682662428806735,-0.001682662428806735,2.83135284931778e-06,2.580989862703567e-05,0.008472832882900913,,,108.67,0.01409107876073157,0.595,1.87,1.275,0.0,-0.02715654952076674,-0.009474667234082634,-0.01283830673143649,-0.06564551422319476,0.007963594994311762,-0.0004211501673149076,0.0,65.06198311460845,0.0,1.0,0.015,0.09630000000000001,0.0867,0.1675,0.8642608787574599,1.363487174168133,1.304900574342441,1.178543061109768,-0.0004211501673149076,-0.0004211501673149076,1.773674634293747e-07,4.236862156203255e-05,0.01086796267823671,17.9120605351367,21.54,104.29,0.00472061657032774,6.665,6.53605,-0.1289499999999997,5.75,0.07968264918937562,0.01695037507212915,0.02818408847663223,0.03121474238435518,0.008027522935779796,0.006438508151052748,0.007001786965220107,65.06198311460845,-0.9510565162951536,0.3090169943749472,0.0472,0.0178,0.0453,0.09119999999999999,train
2000-02-08,0.7452335684900808,0.6966931405411517,0.90772709919964,1.00973815848483,0.006157639448190027,0.0,0.0,2.01014409570379e-05,0.007448146607668007,,,109.49,0.007545780804269819,0.625,1.919,1.294,0.0,-0.00919540229885063,-0.01285914610496164,-0.01511423550087876,-0.02615144418423099,-0.001128668171557545,-9.127258564011562e-05,0.02382414392943611,65.06198311460845,0.9510565162951535,0.3090169943749475,0.0274,0.09210000000000002,0.0892,0.163,0.7431230024639576,0.8642608787574599,1.141619803439487,1.139341525091739,-9.127258564011562e-05,-9.127258564011562e-05,8.330684889432239e-09,3.454642711785821e-05,0.009759591080155094,17.74836870550089,22.79,104.64,0.003356026464665707,6.713,6.63828,-0.07472000000000012,5.75,-0.02715654952076674,-0.009474667234082634,-0.01283830673143649,-0.06564551422319476,0.007963594994311762,0.01102388513072232,0.0,65.06198311460845,0.0,1.0,0.0214,-0.012,0.0394,0.0953,train
