model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,covid,JP,extended,22,static,Full Test,0.3381612087120698,0.1720986132736967,0.027541637,0.3885208756167334,0.020688941,0.011245947,25,25,28,TRUE,,,
1DCNN,covid,JP,extended,22,static,Pre-crash,0.1130963339687338,0.097324295,0.021782305,0.2107302274571583,0.020688941,0.011245947,25,25,28,TRUE,,,
1DCNN,covid,JP,extended,22,static,Crash,0.9215593586135816,0.6257847202451605,0.068188213,0.4025996178826019,0.020688941,0.011245947,25,25,28,TRUE,,,
1DCNN,covid,JP,extended,22,static,Recovery,0.2393737078065792,0.1390207448313313,0.024411384,0.3050629913528624,0.020688941,0.011245947,25,25,28,TRUE,,,
1DCNN,normal,US,extended,252,expanding,Full Test,0.17899256372707836,0.10873407861602291,0.030232367368270337,0.30592863369992884,,,,,28,TRUE,0.028883679160033003,31,76
1DCNN,normal,KR,extended,252,expanding,Full Test,0.11928385554986531,0.088858587,0.020884327303945845,0.22438154310862124,,,,,28,TRUE,0.017149252068609164,40,74
1DCNN,normal,JP,extended,60,expanding,Full Test,0.18061300907011074,0.11387680228034111,0.022620874606664867,0.26539624816013224,,,,,28,TRUE,0.017360856,44,73
1DCNN,911,US,extended,22,expanding,Full Test,0.2969184867243756,0.19259889368657712,0.030561037888686825,0.2819740559693119,,,,,28,TRUE,0.031311924,13,7
1DCNN,911,US,extended,22,expanding,Shock,0.5332702523755101,0.37218751907348635,0.048333607,0.33838794316154897,,,,,28,TRUE,0.031311924,13,7
1DCNN,911,US,extended,22,expanding,Recovery,0.20872448773241678,0.15178329700773413,0.026521817578245312,0.2234366532017183,,,,,28,TRUE,0.031311924,13,7
1DCNN,911,KR,extended,22,expanding,Full Test,0.49841907682850467,0.3287844732403755,0.046837031,0.35317680517676003,,,,,28,TRUE,0.020676769609580127,18,7
1DCNN,911,KR,extended,22,expanding,Shock,0.7761310671117974,0.4091089765230815,0.075366653,0.5666839616864661,,,,,28,TRUE,0.020676769609580127,18,7
1DCNN,911,KR,extended,22,expanding,Recovery,0.4009288487959947,0.3088875779318153,0.03977006,0.28203428176885464,,,,,28,TRUE,0.020676769609580127,18,7
1DCNN,911,JP,extended,60,expanding,Full Test,0.2683389178363479,0.20607632891576094,0.018441136,0.19544531385617042,,,,,28,TRUE,0.015706383,19,7
1DCNN,911,JP,extended,60,expanding,Shock,0.3382824818022654,0.25627133675983976,0.017255602,0.19549403919005015,,,,,28,TRUE,0.015706383,19,7
1DCNN,911,JP,extended,60,expanding,Recovery,0.24635605285965848,0.19269099349067326,0.018757278360758953,0.19282038208648575,,,,,28,TRUE,0.015706383,19,7
1DCNN,gfc,US,extended,60,expanding,Full Test,0.44305466186826437,0.28964699024245855,0.026986918754611847,0.27409519457534914,,,,,28,TRUE,0.020915511098422837,43,25
1DCNN,gfc,US,extended,60,expanding,Pre-Lehman,0.34330492780721583,0.23437767346840443,0.031310639,0.30794675362798585,,,,,28,TRUE,0.020915511098422837,43,25
1DCNN,gfc,US,extended,60,expanding,Lehman Crisis,0.6816051384355368,0.48375928203264873,0.02615363,0.24100805624976276,,,,,28,TRUE,0.020915511098422837,43,25
1DCNN,gfc,US,extended,60,expanding,Recovery,0.26710253594098016,0.19399376064538956,0.012941690752979382,0.1697735700993162,,,,,28,TRUE,0.020915511098422837,43,25
