model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
XGBoost,normal,KR,extended,0.01476771351688509,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,normal,JP,core,0.01475705779742684,0.10078914959537245,,,,,,,,,,,,,
ElasticNet,normal,JP,core,0.014687582194150416,0.0020447495717645673,0.930030839567162,,,,,,,,,,,,
Huber,normal,JP,core,0.014703795043573309,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,normal,JP,core,0.013790844433534897,,,,691.0,0.031847272002844734,4.0,15.0,20.0,0.8624175337686146,0.8902171865448858,0.05612859856403916,0.27111170723215067,,
XGBoost,normal,JP,core,0.013855549392818875,,,,358.0,0.022033376839487705,4.0,,,0.8271557070282203,0.9542172737740988,0.0011114668595692643,0.0035909522031271316,2.8698885287079223,0.2090680179961985
Ridge,normal,JP,momentum,0.0148001399514617,0.07711157934093159,,,,,,,,,,,,,
ElasticNet,normal,JP,momentum,0.014588197971928708,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,normal,JP,momentum,0.014775011711844487,0.0766609143305825,,1.9725833997090791,,,,,,,,,,,
LightGBM,normal,JP,momentum,0.013911387640344362,,,,955.0,0.009618241470687544,4.0,40.0,19.0,0.7558320077865619,0.642714218163452,0.00011431541785080464,9.315666345772176,,
XGBoost,normal,JP,momentum,0.0137504929024334,,,,354.0,0.03467882622333947,4.0,,,0.8271557070282203,0.9580361356158841,0.10179457616545486,0.04810393128035832,2.8698885287079223,0.21712766908665612
Ridge,normal,JP,extended,0.014901512140821764,0.10078914959537245,,,,,,,,,,,,,
ElasticNet,normal,JP,extended,0.014566044096056087,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,normal,JP,extended,0.014998957477990411,1.5618020905061992e-05,,1.9918356423396688,,,,,,,,,,,
LightGBM,normal,JP,extended,0.013779147894330213,,,,1198.0,0.005118094490415271,10.0,249.0,29.0,0.8810796931031994,0.679975911689332,0.020795016849995986,0.026127319327891713,,
XGBoost,normal,JP,extended,0.013626449193635197,,,,324.0,0.0318055442572525,4.0,,,0.7925513864756538,0.932190628835792,0.06345849655555874,0.055100467999519134,3.4919997789775032,0.2643365543140507
Ridge,911,US,core,0.01306617693867562,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,911,US,core,0.013805994210398274,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,911,US,core,0.0122651794758058,1.1616256692333242e-05,,1.8372633211682123,,,,,,,,,,,
LightGBM,911,US,core,0.016557243990755015,,,,1114.0,0.03105858941785044,4.0,103.0,50.0,0.6430662361805287,0.878750878575403,0.017653936240550082,3.4196539121662193,,
XGBoost,911,US,core,0.016383857505787407,,,,400.0,0.03841751996538573,4.0,,,0.9134406537392039,0.9487565557115951,0.004559417181783661,0.0020406567111651655,1.4380177893442956,0.12503782745684838
Ridge,911,US,momentum,0.013075997686935544,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,911,US,momentum,0.013789825653683837,0.0033205591037519565,0.522280788469014,,,,,,,,,,,,
Huber,911,US,momentum,0.012279340482048894,8.260808399079601e-05,,1.2636424704863907,,,,,,,,,,,
LightGBM,911,US,momentum,0.01659255476891551,,,,295.0,0.02134603732092178,7.0,135.0,36.0,0.647361057759885,0.8697748915527381,0.04768018877410606,0.0043919592076738226,,
