ensemble_method,models,n_models,regime,country,feature_set,protocol,member_Ls,phase,RMSE,MAE,QLIKE,RMSE_CV,n_obs
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Full Test,0.22274220511316517,0.1755044169613183,0.012834168247788562,0.16223483547737988,133
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Shock,0.282752372413335,0.21003386721108303,0.012181885536780417,0.1634030916385514,28
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,expanding,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Recovery,0.20377636310644637,0.166296563561381,0.0130081103040574,0.15949369109580203,105
equal_weight,LSTM+1DCNN,2,911,JP,core,static,LSTM:L60|1DCNN:L22,Full Test,0.2285037504988785,0.17970445259398496,0.013685775577674275,0.16643127130605173,133
equal_weight,LSTM+1DCNN,2,911,JP,core,static,LSTM:L60|1DCNN:L22,Shock,0.2981606232840997,0.22496268392857147,0.013772901402607054,0.17230754608491525,28
equal_weight,LSTM+1DCNN,2,911,JP,core,static,LSTM:L60|1DCNN:L22,Recovery,0.2059880719427494,0.16763559090476193,0.013662542024358869,0.16122477341738325,105
equal_weight,LSTM+TCN,2,911,JP,core,static,LSTM:L60|TCN:L22,Full Test,0.2302772739677481,0.18363837172932332,0.013910829693210877,0.16772302150695942,133
equal_weight,LSTM+TCN,2,911,JP,core,static,LSTM:L60|TCN:L22,Shock,0.2894297409277753,0.2192580428571429,0.013191518187722604,0.1672619538889904,28
equal_weight,LSTM+TCN,2,911,JP,core,static,LSTM:L60|TCN:L22,Recovery,0.21173041593502065,0.17413979276190478,0.014102646094674418,0.16571924778333544,105
equal_weight,LSTM+TST,2,911,JP,core,static,LSTM:L60|TST:L60,Full Test,0.22044452167992948,0.17676091236842106,0.012806977342787426,0.1605613120815066,133
equal_weight,LSTM+TST,2,911,JP,core,static,LSTM:L60|TST:L60,Shock,0.26832737421249137,0.2055153714285714,0.011947851031434118,0.15506685922744637,28
equal_weight,LSTM+TST,2,911,JP,core,static,LSTM:L60|TST:L60,Recovery,0.2058027593964803,0.16909305661904764,0.013036077692481642,0.16107973116808283,105
equal_weight,1DCNN+TCN,2,911,JP,core,static,1DCNN:L22|TCN:L22,Full Test,0.23387846179570174,0.18665783921052634,0.014552174320625012,0.170345955559944,133
equal_weight,1DCNN+TCN,2,911,JP,core,static,1DCNN:L22|TCN:L22,Shock,0.2942275478589626,0.2238873803571428,0.014104891541323153,0.17003461491242264,28
equal_weight,1DCNN+TCN,2,911,JP,core,static,1DCNN:L22|TCN:L22,Recovery,0.21494249824393413,0.17672996157142856,0.014671449728438842,0.16823331200835762,105
equal_weight,1DCNN+TST,2,911,JP,core,static,1DCNN:L22|TST:L60,Full Test,0.22288652928151792,0.1794323127067669,0.013238695595315398,0.16233995435229678,133
equal_weight,1DCNN+TST,2,911,JP,core,static,1DCNN:L22|TST:L60,Shock,0.276943576593723,0.21674224464285713,0.012958841985729355,0.16004617766503362,28
equal_weight,1DCNN+TST,2,911,JP,core,static,1DCNN:L22|TST:L60,Recovery,0.20609038717707734,0.16948299752380955,0.013313323224538341,0.1613048545129345,105
equal_weight,TCN+TST,2,911,JP,core,static,TCN:L22|TST:L60,Full Test,0.2334088478583016,0.18583717943609024,0.01419820026404554,0.17000391108822788,133
equal_weight,TCN+TST,2,911,JP,core,static,TCN:L22|TST:L60,Shock,0.28609407223343475,0.2198138285714286,0.013720915696479605,0.16533426511190316,28
equal_weight,TCN+TST,2,911,JP,core,static,TCN:L22|TST:L60,Recovery,0.21721185391898185,0.17677673966666668,0.014325476148729789,0.1700095136644162,105
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22,Full Test,0.227460774992358,0.18161781992481205,0.01366502420816753,0.1656716175186968,133
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22,Shock,0.28837071900795574,0.21912442023809525,0.013144178408846621,0.16664994326785493,28
equal_weight,LSTM+1DCNN+TCN,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22,Recovery,0.20823048011241402,0.17161605984126982,0.01380391642131977,0.1629798835344581,105
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TST:L60,Full Test,0.22058929258182688,0.17682465488721807,0.012899098242986145,0.16066675632563082,133
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TST:L60,Shock,0.27668761132723046,0.21213243452380956,0.012473780585040459,0.1598982548894957,28
equal_weight,LSTM+1DCNN+TST,3,911,JP,core,static,LSTM:L60|1DCNN:L22|TST:L60,Recovery,0.2030285607142324,0.167409246984127,0.013012516285104993,0.1589083940137425,105
equal_weight,LSTM+TCN+TST,3,911,JP,core,static,LSTM:L60|TCN:L22|TST:L60,Full Test,0.2252047884085258,0.18154287250626566,0.013372265227896257,0.16402846411584518,133
equal_weight,LSTM+TCN+TST,3,911,JP,core,static,LSTM:L60|TCN:L22|TST:L60,Shock,0.2761396847169844,0.21391898571428566,0.012512693316955101,0.15958160714236458,28
equal_weight,LSTM+TCN+TST,3,911,JP,core,static,LSTM:L60|TCN:L22|TST:L60,Recovery,0.20954144153652382,0.1729092423174603,0.013601484404147232,0.1640059597366752,105
equal_weight,1DCNN+TCN+TST,3,911,JP,core,static,1DCNN:L22|TCN:L22|TST:L60,Full Test,0.2255519208066837,0.18179445649122808,0.013549688500251076,0.16428129885580373,133
equal_weight,1DCNN+TCN+TST,3,911,JP,core,static,1DCNN:L22|TCN:L22|TST:L60,Shock,0.27843633179042865,0.2166372345238095,0.013001002475624428,0.16090884350607182,28
equal_weight,1DCNN+TCN+TST,3,911,JP,core,static,1DCNN:L22|TCN:L22|TST:L60,Recovery,0.2092036563046429,0.172503049015873,0.013696004773484849,0.16374157866373193,105
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Full Test,0.22290795414695266,0.17943614560150373,0.013191864822770927,0.1623555592059768,133
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Shock,0.277028123593856,0.21344870267857144,0.012530051842561054,0.16009503752439833,28
equal_weight,LSTM+1DCNN+TCN+TST,4,911,JP,core,static,LSTM:L60|1DCNN:L22|TCN:L22|TST:L60,Recovery,0.20608943679381664,0.1703661303809524,0.013368348284160227,0.16130411065760142,105
equal_weight,LSTM+1DCNN,2,911,JP,extended,expanding,LSTM:L22|1DCNN:L60,Full Test,0.23984461262254655,0.18960169473088773,0.015061785198974224,0.17469141624590528,133
equal_weight,LSTM+1DCNN,2,911,JP,extended,expanding,LSTM:L22|1DCNN:L60,Shock,0.3027026685394456,0.2272102875368936,0.013794644327580161,0.17493240273959362,28
equal_weight,LSTM+1DCNN,2,911,JP,extended,expanding,LSTM:L22|1DCNN:L60,Recovery,0.22007085278966002,0.1795727366492862,0.015399689431345972,0.17224722278357998,105
equal_weight,LSTM+TCN,2,911,JP,extended,expanding,LSTM:L22|TCN:L22,Full Test,0.2610579218224188,0.20474745165136524,0.017775383354104408,0.1901421824185019,133
equal_weight,LSTM+TCN,2,911,JP,extended,expanding,LSTM:L22|TCN:L22,Shock,0.33687568106158106,0.281524338892528,0.01884203049247663,0.19468104657610602,28
