model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L
TST,normal,US,core,22,static,Full Test,0.17602322174089652,0.10930653636191244,0.035372925970821936,0.3008535248914671,0.028788858297241038,0.02959677861569074,26,26,10,True
TST,normal,KR,core,60,static,Full Test,0.10018724083729992,0.07572169826192371,0.014547944601869494,0.18845943229484932,0.013138973121471127,0.010826098557073073,22,22,10,True
TST,normal,JP,core,252,static,Full Test,0.17137744935965327,0.11203913141603339,0.01997812244208303,0.2518253381274954,0.014608983834453384,0.03078517948959762,30,30,10,True
TST,911,US,core,22,static,Full Test,0.25336519472016517,0.17645842477127358,0.024695247105877473,0.2406128779142615,0.013240243672055584,0.023057609796524048,39,39,10,True
TST,911,US,core,22,static,Shock,0.4162579163289299,0.29658678054809573,0.02580837540367198,0.2641374790808178,0.013240243672055584,0.023057609796524048,39,39,10,True
TST,911,US,core,22,static,Recovery,0.19850379280190805,0.14915652573108673,0.024442263401833267,0.21249554181858105,0.013240243672055584,0.023057609796524048,39,39,10,True
TST,911,KR,core,22,static,Full Test,0.4177806610221638,0.245129797826795,0.027288773292066127,0.29603690144310374,0.013037959983254388,0.031069980934262276,14,14,10,True
TST,911,KR,core,22,static,Shock,0.7704461065339505,0.3647449281480577,0.07348771190547718,0.56253314732173,0.013037959983254388,0.031069980934262276,14,14,10,True
TST,911,KR,core,22,static,Recovery,0.26597023520266716,0.21550036187565655,0.015844999507092748,0.18709734777765125,0.013037959983254388,0.031069980934262276,14,14,10,True
TST,911,JP,core,60,static,Full Test,0.23187995008382764,0.18277659900206372,0.013683155394596073,0.16889033460560532,0.011950493892089508,0.0347537063062191,19,19,10,True
TST,911,JP,core,60,static,Shock,0.27762982650113277,0.21345279472214834,0.013296525958845229,0.1604427633768643,0.011950493892089508,0.0347537063062191,19,19,10,True
TST,911,JP,core,60,static,Recovery,0.21806491869998917,0.1745962801433745,0.013786256577462965,0.1706771985316044,0.011950493892089508,0.0347537063062191,19,19,10,True
TST,gfc,US,core,252,static,Full Test,0.6028640971215624,0.3090848770324241,0.02982348692253926,0.37296109537869865,0.01872116729312002,0.01393418996576294,27,27,10,True
TST,gfc,US,core,252,static,Pre-Lehman,0.24306061720633704,0.16466326837826112,0.018245076622544702,0.21802695487534102,0.01872116729312002,0.01393418996576294,27,27,10,True
TST,gfc,US,core,252,static,Lehman Crisis,1.1327204692147248,0.7361961891253789,0.06948945545306276,0.4005174596927994,0.01872116729312002,0.01393418996576294,27,27,10,True
TST,gfc,US,core,252,static,Recovery,0.2464271746219487,0.17930934950709343,0.011283160562984725,0.15663206288052706,0.01872116729312002,0.01393418996576294,27,27,10,True
