"model","regime","country","feature_set","L","protocol","phase","RMSE","MAE","QLIKE","RMSE_CV","tuning_val_qlike","tuning_val_mse","tuning_best_epoch","final_epochs","n_features","is_best_L","best_val_loss","epochs_used","n_refits","source_branch","source_file"
"LSTM","gfc","JP","momentum","22","static","Pre-Lehman","0.2098626863027776","0.1589593418238395","0.0172460594950155","0.1949441496963935","0.0126719229705882","0.0149622199084112","99.0","99.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","JP","momentum","22","static","Recovery","0.192195145737583","0.1448657853262765","0.0119670756750903","0.1548673606310573","0.0126719229705882","0.0149622199084112","99.0","99.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","US","momentum","60","static","Crash","1.2754920716537717","0.8879870346614293","0.0646251009043682","0.355110067360288","0.0160158078237558","0.009730752899749","25.0","25.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","US","momentum","60","static","Full Test","0.4124060178630267","0.2013233960756371","0.0223921757401049","0.3597134282467192","0.0160158078237558","0.009730752899749","25.0","25.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","US","momentum","60","static","Pre-crash","0.0891005513273131","0.071276975103787","0.0210959150802986","0.1849632248859959","0.0160158078237558","0.009730752899749","25.0","25.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","US","momentum","60","static","Recovery","0.2007431652887379","0.1499259394283096","0.0180092470663741","0.2007015739049771","0.0160158078237558","0.009730752899749","25.0","25.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","KR","momentum","252","static","Crash","0.6186158739525062","0.3606672684351603","0.0244248867495859","0.3148514852686287","0.0140987737549057","0.0109041140509807","7.0","7.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","KR","momentum","252","static","Full Test","0.2812639383067344","0.1643189231474553","0.0213855202753857","0.2758096299418102","0.0140987737549057","0.0109041140509807","7.0","7.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","KR","momentum","252","static","Pre-crash","0.1365233447992642","0.0929756794657026","0.0106713497264062","0.175103760779243","0.0140987737549057","0.0109041140509807","7.0","7.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","KR","momentum","252","static","Recovery","0.2385981467747281","0.1558486016777654","0.0230061935735945","0.2484920724246906","0.0140987737549057","0.0109041140509807","7.0","7.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","JP","momentum","60","static","Crash","0.6046163302042705","0.3947020580894069","0.023046864833069","0.2641374114761586","0.0181490537602964","0.0107223350772922","22.0","22.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","JP","momentum","60","static","Full Test","0.2401396810116159","0.1387982147456217","0.018070393970593","0.2759017791907543","0.0181490537602964","0.0107223350772922","22.0","22.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","JP","momentum","60","static","Pre-crash","0.1119554605546933","0.0903324543526678","0.0182371376848936","0.2086044599313332","0.0181490537602964","0.0107223350772922","22.0","22.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","covid","JP","momentum","60","static","Recovery","0.184994648922981","0.1212562635060279","0.0175324612342545","0.2357611514724845","0.0181490537602964","0.0107223350772922","22.0","22.0","14","True","","","","LSTM_HS","dl_results_momentum.csv"
"LSTM","normal","US","momentum","60","expanding","Full Test","0.16537122321443143","0.09224815402780169","0.01820118578444224","0.28264745371443234","","","","","14","True","0.015852122151287888","50.0","76.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","normal","KR","momentum","22","expanding","Full Test","0.09883436449646527","0.07436223018977602","0.014413764343469557","0.185914574236797","","","","","14","True","0.013271862738632918","69.0","74.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","normal","JP","momentum","252","expanding","Full Test","0.16724300439510142","0.10029324634026175","0.01617867910882109","0.2457501047461022","","","","","14","True","0.014806493406380305","41.0","73.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","expanding","Full Test","0.3056546557016303","0.19259303741984898","0.029068845063468202","0.2902705181644614","","","","","14","True","0.023278943913605108","28.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","expanding","Recovery","0.20089192112829904","0.14978697381236336","0.02481978530931908","0.21505199988664006","","","","","14","True","0.023278943913605108","28.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","US","momentum","22","expanding","Shock","0.5717695940612104","0.38093971729278564","0.04776470798172434","0.36281779460753616","","","","","14","True","0.023278943913605108","28.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","expanding","Full Test","0.4167292531968687","0.2296036810559385","0.026830778177878586","0.29529188008670143","","","","","14","True","0.02676581271796095","17.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","expanding","Recovery","0.2578431495092783","0.18894615906094192","0.01621632036713606","0.18138033144597","","","","","14","True","0.02676581271796095","17.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","KR","momentum","22","expanding","Shock","0.7786871192447254","0.3937396031838876","0.06968173748791323","0.5685502363536497","","","","","14","True","0.02676581271796095","17.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","expanding","Full Test","0.2340960928598916","0.1744052691567213","0.013124925737485646","0.17050446767251312","","","","","14","True","0.011117997983374619","33.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","expanding","Recovery","0.19852657757454514","0.15793377331324987","0.012324730967820862","0.15538473724472715","","","","","14","True","0.011117997983374619","33.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","911","JP","momentum","22","expanding","Shock","0.33542011086887163","0.23617337856973922","0.01612565612372859","0.19383987001035133","","","","","14","True","0.011117997983374619","33.0","7.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","US","momentum","60","expanding","Full Test","0.5392611068522558","0.2898961155681136","0.02522245124936613","0.33361318756089725","","","","","14","True","0.024050099988324854","53.0","25.0","LSTM_HS","dl_results_momentum.csv"
"LSTM","gfc","US","momentum","60","expanding","Lehman Crisis","0.9891500107742868","0.6554544687271118","0.05104936516383205","0.3497525297173048","","","","","14","True","0.024050099988324854","53.0","25.0","LSTM_HS","dl_results_momentum.csv"
