source_branch,regime,country,feature_set,L,val_qlike,val_mse,val_rmse,val_rmse_cv,best_epoch,epochs_used,is_best_L
CNNBased_GH,normal,US,core,22,0.02710153056705542,0.02867114529558439,0.1693255580345352,0.263221490661393,24,34,False
CNNBased_GH,normal,US,core,60,0.026873751290704538,0.028905221835338314,0.1700153596567098,0.26429380728835145,23,33,False
CNNBased_GH,normal,US,core,252,0.026614098205541153,0.02844815791065514,0.1686658179228949,0.2621959055243893,27,37,True
CNNBased_GH,normal,US,momentum,22,0.027509549509551836,0.028808872366375603,0.16973176704376716,0.26385295434691836,21,31,False
CNNBased_GH,normal,US,momentum,60,0.0266764971698444,0.02855473238857014,0.16898145343363616,0.2626865700797427,26,36,True
CNNBased_GH,normal,US,momentum,252,0.027474431923462387,0.02868931049944855,0.16937919328398512,0.2633048682121661,14,24,False
CNNBased_GH,normal,US,extended,22,0.028978348010559724,0.027647602000078667,0.16627568181023838,0.2584803696197106,17,27,False
CNNBased_GH,normal,US,extended,60,0.030713169023767854,0.02887427278982085,0.16992431539649255,0.26415227634542277,16,26,False
CNNBased_GH,normal,US,extended,252,0.028395045405252634,0.027317654970930264,0.1652805344307985,0.25693338415759553,22,32,True
CNNBased_GH,normal,KR,core,22,0.013907604923016823,0.011545299239395583,0.10744905434573566,0.17951538038464068,18,28,True
CNNBased_GH,normal,KR,core,60,0.01454286355278843,0.01195719814477641,0.10934897376759654,0.18268958009995961,20,30,False
CNNBased_GH,normal,KR,core,252,0.014547739980648105,0.012075646368206525,0.10988924727056953,0.18359221627473565,18,28,False
CNNBased_GH,normal,KR,momentum,22,0.013727960135126855,0.01109170473226514,0.1053171632729726,0.17595362510260482,16,26,False
CNNBased_GH,normal,KR,momentum,60,0.013464405957590022,0.010642545839741092,0.10316271650181112,0.17235418596376365,30,40,True
CNNBased_GH,normal,KR,momentum,252,0.014338862023068378,0.011417638991394492,0.10685335468156969,0.17852014359583032,22,32,False
CNNBased_GH,normal,KR,extended,22,0.01881383396794299,0.014400082609814699,0.12000034460894456,0.20048484967999702,14,24,False
CNNBased_GH,normal,KR,extended,60,0.0186489771669139,0.014264257640012951,0.11943306594405068,0.19953709591955124,14,24,True
CNNBased_GH,normal,KR,extended,252,0.018763356893860078,0.0145923645678358,0.12079885877957242,0.20181892912774674,24,34,False
CNNBased_GH,normal,JP,core,22,0.014803281772934225,0.03408289920945882,0.18461554493368834,0.2187912392322457,24,34,False
CNNBased_GH,normal,JP,core,60,0.014647235674424225,0.033244229476099556,0.18233000094431462,0.21608259949156458,21,31,True
CNNBased_GH,normal,JP,core,252,0.01483684621141344,0.03344654467575222,0.18288396436448826,0.21673911161372988,28,38,False
CNNBased_GH,normal,JP,momentum,22,0.015540570944253205,0.032982081612232726,0.18160969424741927,0.2152289509274763,19,29,False
CNNBased_GH,normal,JP,momentum,60,0.015707156527595953,0.0326680353718248,0.1807430089121017,0.21420182637733803,29,39,False
CNNBased_GH,normal,JP,momentum,252,0.015259044540853726,0.03151133491352261,0.1775143223937773,0.2103754512760952,25,35,True
CNNBased_GH,normal,JP,extended,22,0.017169768625762263,0.03837605235487343,0.19589806881498098,0.2321623634381845,13,23,False
CNNBased_GH,normal,JP,extended,60,0.017888496144714224,0.03741491610855467,0.19342935669967876,0.22923664782085312,11,21,False
CNNBased_GH,normal,JP,extended,252,0.016848089580680074,0.0341694740963127,0.18484986854117438,0.21906894040026842,18,28,True
