model,regime,country,feature_set,L,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,tuning_val_qlike,tuning_val_mse,tuning_best_epoch,final_epochs,n_features,is_best_L,best_val_loss,epochs_used,n_refits
1DCNN,covid,JP,momentum,22,static,Full Test,0.2137281017743972,0.1348069552488687,0.019277968,0.2455569329242443,0.020965205,0.011624993,72,72,14,TRUE,,,
1DCNN,covid,JP,momentum,22,static,Pre-crash,0.1134261662985998,0.093471786,0.021043471,0.2113447977041002,0.020965205,0.011624993,72,72,14,TRUE,,,
1DCNN,covid,JP,momentum,22,static,Crash,0.4493600834360867,0.3103151478265461,0.017422806,0.1963109551133328,0.020965205,0.011624993,72,72,14,TRUE,,,
1DCNN,covid,JP,momentum,22,static,Recovery,0.1885234420464998,0.124212358,0.01915424,0.2402583211741625,0.020965205,0.011624993,72,72,14,TRUE,,,
1DCNN,normal,US,momentum,252,expanding,Full Test,0.1772568806868197,0.10308714332021822,0.026969344644341562,0.302962057,,,,,14,TRUE,0.022959463822216728,47,76
1DCNN,normal,KR,momentum,22,expanding,Full Test,0.11297815573809343,0.082879187,0.019189532951947374,0.21252006656912725,,,,,14,TRUE,0.023663262,12,74
1DCNN,normal,JP,momentum,252,expanding,Full Test,0.17348002105689192,0.10511532591222084,0.019008544157509032,0.2549148976382293,,,,,14,TRUE,0.017744693860546428,52,73
1DCNN,911,US,momentum,22,expanding,Full Test,0.29782403670200785,0.20978330616597776,0.035055726917359434,0.2828340280205399,,,,,14,TRUE,0.024386649646141886,28,7
1DCNN,911,US,momentum,22,expanding,Shock,0.48848962525404327,0.3616773986816406,0.038868985,0.30997228667665083,,,,,14,TRUE,0.024386649646141886,28,7
1DCNN,911,US,momentum,22,expanding,Recovery,0.23372153834577603,0.17526192150332712,0.034189077425513165,0.2501956472691667,,,,,14,TRUE,0.024386649646141886,28,7
1DCNN,911,KR,momentum,22,expanding,Full Test,0.41480088943623344,0.25374963572796655,0.025479754502690206,0.29392545294965555,,,,,14,TRUE,0.020217431,19,7
1DCNN,911,KR,momentum,22,expanding,Shock,0.6741881893380485,0.31090275446573895,0.04141742,0.4922514382500272,,,,,14,TRUE,0.020217431,19,7
1DCNN,911,KR,momentum,22,expanding,Recovery,0.3195155090337219,0.2395924411782431,0.021531892437154206,0.22476388859258356,,,,,14,TRUE,0.020217431,19,7
1DCNN,911,JP,momentum,22,expanding,Full Test,0.2963585696075824,0.22429974769291125,0.0203054,0.2158534964587006,,,,,14,TRUE,0.015604772505943944,40,7
1DCNN,911,JP,momentum,22,expanding,Shock,0.4514566547958545,0.3727064388138907,0.027785720280723663,0.26089759213974967,,,,,14,TRUE,0.015604772505943944,40,7
1DCNN,911,JP,momentum,22,expanding,Recovery,0.23853541863901323,0.18472463006065004,0.018310648,0.1866992510605616,,,,,14,TRUE,0.015604772505943944,40,7
1DCNN,gfc,US,momentum,60,expanding,Full Test,0.6686408553623482,0.34957757394753136,0.024822607269167327,0.4136538019456923,,,,,14,TRUE,0.020878827,35,25
1DCNN,gfc,US,momentum,60,expanding,Pre-Lehman,0.2651652886099573,0.18351071641217692,0.020152618,0.23785498892727508,,,,,14,TRUE,0.020878827,35,25
1DCNN,gfc,US,momentum,60,expanding,Lehman Crisis,1.234379831874334,0.7857622355222702,0.038942828751261684,0.43646308863922684,,,,,14,TRUE,0.020878827,35,25
1DCNN,gfc,US,momentum,60,expanding,Recovery,0.4061745922352711,0.28276209011673925,0.020162361,0.2581694343128703,,,,,14,TRUE,0.020878827,35,25
1DCNN,gfc,KR,momentum,22,expanding,Full Test,0.4759369705290504,0.21534499652037914,0.013692051,0.32384367245121803,,,,,14,TRUE,0.013815882084867349,32,24
1DCNN,gfc,KR,momentum,22,expanding,Pre-Lehman,0.19367714782377957,0.1487126945365559,0.013759889397989802,0.16950157493656295,,,,,14,TRUE,0.013815882084867349,32,24
1DCNN,gfc,KR,momentum,22,expanding,Lehman Crisis,0.8833777191502502,0.4113781694638527,0.016454414,0.37935199648305257,,,,,14,TRUE,0.013815882084867349,32,24
1DCNN,gfc,KR,momentum,22,expanding,Recovery,0.2435301996128021,0.15524460449814798,0.009384368,0.1835513955930132,,,,,14,TRUE,0.013815882084867349,32,24
1DCNN,gfc,JP,momentum,60,expanding,Full Test,0.3118592295926454,0.20567173045924586,0.017520400086549478,0.22938245451056247,,,,,14,TRUE,0.013878241957814808,30,24
1DCNN,gfc,JP,momentum,60,expanding,Pre-Lehman,0.22332626305457015,0.15689828658362157,0.017655263615001474,0.20745063938252872,,,,,14,TRUE,0.013878241957814808,30,24
1DCNN,gfc,JP,momentum,60,expanding,Lehman Crisis,0.5004085890019823,0.3508218432727613,0.019462524055292224,0.2352274125057947,,,,,14,TRUE,0.013878241957814808,30,24
