refit_step,regime,country,tier,L,protocol,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,60,expanding,1,0.6664876675012794,0.05077491059812204,0.04833812115112399,0.05077491059812204,0.001
0,normal,US,core,60,expanding,2,0.18581680777142429,0.045364372429595574,0.04498219521940914,0.045364372429595574,0.001
0,normal,US,core,60,expanding,3,0.12862471738769504,0.042551024708120666,0.041258911547841726,0.042551024708120666,0.001
0,normal,US,core,60,expanding,4,0.1044378863701894,0.040198541791116905,0.03860719776114427,0.040198541791116905,0.001
0,normal,US,core,60,expanding,5,0.09018431179621617,0.03775374930348403,0.03639262012687986,0.03775374930348403,0.001
0,normal,US,core,60,expanding,6,0.08349187706899071,0.03616129461941518,0.03526861915285137,0.03616129461941518,0.001
0,normal,US,core,60,expanding,7,0.07947732071115876,0.03494717399802965,0.03428111176082596,0.03494717399802965,0.001
0,normal,US,core,60,expanding,8,0.07478907155847468,0.03386357988358888,0.03336134976942948,0.03386357988358888,0.001
0,normal,US,core,60,expanding,9,0.0715547008181109,0.033048815010506244,0.03279876960477708,0.033048815010506244,0.001
0,normal,US,core,60,expanding,10,0.06858075344439846,0.03234214368615677,0.03231798757432964,0.03234214368615677,0.001
0,normal,US,core,60,expanding,11,0.0660394138476043,0.03162988607046589,0.03178361638228079,0.03162988607046589,0.001
0,normal,US,core,60,expanding,12,0.06384788356453026,0.03119704682780929,0.031483440029394995,0.03119704682780929,0.001
0,normal,US,core,60,expanding,13,0.06220545495762833,0.030741296992196677,0.031137147887541048,0.030741296992196677,0.001
0,normal,US,core,60,expanding,14,0.060157371093846515,0.03010591672730447,0.030635890996641685,0.03010591672730447,0.001
0,normal,US,core,60,expanding,15,0.057719680988972635,0.029242854806202652,0.02990620875557167,0.029242854806202652,0.001
0,normal,US,core,60,expanding,16,0.05632153871128939,0.028856122344488328,0.02964061445371766,0.028856122344488328,0.001
0,normal,US,core,60,expanding,17,0.05535298728002283,0.028597495105110702,0.029547424952532184,0.028597495105110702,0.001
0,normal,US,core,60,expanding,18,0.054291785882840234,0.028374223398584662,0.029404444759530433,0.028374223398584662,0.001
0,normal,US,core,60,expanding,19,0.05319543375568161,0.028157439256024708,0.029241163790921756,0.028157439256024708,0.001
0,normal,US,core,60,expanding,20,0.05177546420596272,0.027487257825837545,0.028712993250355298,0.027487257825837545,0.001
0,normal,US,core,60,expanding,21,0.050917068767915664,0.027347489836708976,0.028568315468293682,0.027347489836708976,0.001
0,normal,US,core,60,expanding,22,0.04971858793629995,0.027162622372883083,0.028499328729729188,0.027162622372883083,0.001
0,normal,US,core,60,expanding,23,0.05021046865252238,0.027325292854144683,0.02861944287797936,0.027325292854144683,0.001
0,normal,US,core,60,expanding,24,0.0483590510835165,0.026907867456564438,0.0284115916339079,0.026907867456564438,0.001
0,normal,US,core,60,expanding,25,0.04779458497850605,0.026929972954568036,0.02850225464901108,0.026929972954568036,0.001
0,normal,US,core,60,expanding,26,0.04688434130280546,0.026633293715349757,0.028284838775549707,0.026633293715349757,0.001
0,normal,US,core,60,expanding,27,0.04642332334512298,0.026982062726155696,0.028543383649510517,0.026982062726155696,0.001
0,normal,US,core,60,expanding,28,0.0455075217228811,0.026609713291620114,0.028363479500643708,0.026609713291620114,0.001
0,normal,US,core,60,expanding,29,0.044450680425911375,0.02639336404141539,0.028137779689542515,0.02639336404141539,0.001
0,normal,US,core,60,expanding,30,0.04339631089675488,0.026066839880472654,0.027840503890081834,0.026066839880472654,0.001
0,normal,US,core,60,expanding,31,0.04362207893186327,0.026388014205952246,0.028169320588242914,0.026388014205952246,0.001
0,normal,US,core,60,expanding,32,0.04240923874578591,0.026039470981515593,0.0279123309740601,0.026039470981515593,0.001
0,normal,US,core,60,expanding,33,0.04375127534259041,0.027218370087097325,0.02866831819385522,0.027218370087097325,0.001
0,normal,US,core,60,expanding,34,0.0415200606525251,0.025870234843792663,0.02784979472060032,0.025870234843792663,0.001
0,normal,US,core,60,expanding,35,0.042280356322717094,0.02851784653402257,0.02919189245639376,0.02851784653402257,0.001
0,normal,US,core,60,expanding,36,0.04064866776225089,0.02577453161995111,0.027922082327284527,0.02577453161995111,0.001
0,normal,US,core,60,expanding,37,0.0385767212274962,0.02626820456814151,0.028055496994000118,0.02626820456814151,0.001
0,normal,US,core,60,expanding,38,0.039058306746785475,0.025385035816022628,0.02753682678442173,0.025385035816022628,0.001
0,normal,US,core,60,expanding,39,0.037721231127378255,0.025829977514454934,0.02802336605171517,0.025829977514454934,0.001
0,normal,US,core,60,expanding,40,0.03818730156785628,0.026450908497759943,0.028386370173804028,0.026450908497759943,0.001
0,normal,US,core,60,expanding,41,0.03877366152216599,0.029240410310252048,0.02967538526245476,0.029240410310252048,0.001
0,normal,US,core,60,expanding,42,0.03826301224389166,0.028816536961840243,0.02938127047327938,0.028816536961840243,0.001
0,normal,US,core,60,expanding,43,0.03680800252927924,0.026762837296955867,0.028695162028755543,0.026762837296955867,0.001
0,normal,US,core,60,expanding,44,0.035212850136168004,0.025988659978521515,0.028329280708782403,0.025988659978521515,0.001
0,normal,US,core,60,expanding,45,0.03309395173324933,0.026604100937359636,0.02839325988078164,0.026604100937359636,0.0005
0,normal,US,core,60,expanding,46,0.03222250440133988,0.027227272039081322,0.02884674466356403,0.027227272039081322,0.0005
0,normal,US,core,60,expanding,47,0.031499846825315446,0.026694734468700396,0.02838844625308298,0.026694734468700396,0.0005
0,normal,US,core,60,expanding,48,0.031277465463758126,0.027050739435909615,0.02883735546073967,0.027050739435909615,0.0005
1,normal,US,core,60,expanding,1,0.6635004932525864,0.047808824693636835,0.043770906546043244,0.047808824693636835,0.001
1,normal,US,core,60,expanding,2,0.18555985856674215,0.043031965318983435,0.04102545515481001,0.043031965318983435,0.001
1,normal,US,core,60,expanding,3,0.12880156942392923,0.040400657182747414,0.037581400315293494,0.040400657182747414,0.001
1,normal,US,core,60,expanding,4,0.10472894259722139,0.038175102220082295,0.03517408985320327,0.038175102220082295,0.001
1,normal,US,core,60,expanding,5,0.09031729820968347,0.03583964629931958,0.033213741205474163,0.03583964629931958,0.001
1,normal,US,core,60,expanding,6,0.08347157731469299,0.03420140779115221,0.032254041732798694,0.03420140779115221,0.001
1,normal,US,core,60,expanding,7,0.0793369742057008,0.03294380412215005,0.03130031652330661,0.03294380412215005,0.001
1,normal,US,core,60,expanding,8,0.07455365878172819,0.031877365023007115,0.030358077061130185,0.031877365023007115,0.001
1,normal,US,core,60,expanding,9,0.07056384232774437,0.030899701302227633,0.02968206125486289,0.030899701302227633,0.001
1,normal,US,core,60,expanding,10,0.06768184297528794,0.030292669325038674,0.0293243129591762,0.030292669325038674,0.001
1,normal,US,core,60,expanding,11,0.06551356870797939,0.029789115409428326,0.02898484208338265,0.029789115409428326,0.001
1,normal,US,core,60,expanding,12,0.06350600890215552,0.029303161547285232,0.02861655767956601,0.029303161547285232,0.001
1,normal,US,core,60,expanding,13,0.061651743064147876,0.028764514495971606,0.028200420747354366,0.028764514495971606,0.001
1,normal,US,core,60,expanding,14,0.05959996083016936,0.028249581981313093,0.02783205387555423,0.028249581981313093,0.001
1,normal,US,core,60,expanding,15,0.05766609637384363,0.027850721878237627,0.027586583307506497,0.027850721878237627,0.001
1,normal,US,core,60,expanding,16,0.056077268223645414,0.02746040438232438,0.027359044817015097,0.02746040438232438,0.001
1,normal,US,core,60,expanding,17,0.054767619620241216,0.02704158022530173,0.027035100511644518,0.02704158022530173,0.001
1,normal,US,core,60,expanding,18,0.05368850223648922,0.027044584658449427,0.0271806509686162,0.027044584658449427,0.001
1,normal,US,core,60,expanding,19,0.053897650950520945,0.027924994225516583,0.027760163547626084,0.027924994225516583,0.001
1,normal,US,core,60,expanding,20,0.05313760182460691,0.026371397578199136,0.02661942745013094,0.026371397578199136,0.001
1,normal,US,core,60,expanding,21,0.050613071347649065,0.025955495581891162,0.026078384791138786,0.025955495581891162,0.001
1,normal,US,core,60,expanding,22,0.04981846126535905,0.025747660951610834,0.026014956398876077,0.025747660951610834,0.001
1,normal,US,core,60,expanding,23,0.04910959053332289,0.025554030475672288,0.02592256999929477,0.025554030475672288,0.001
1,normal,US,core,60,expanding,24,0.04960392008943414,0.02601714581753467,0.02638579377223606,0.02601714581753467,0.001
1,normal,US,core,60,expanding,25,0.047375875780559656,0.025181729568648573,0.025727985106134783,0.025181729568648573,0.001
1,normal,US,core,60,expanding,26,0.046352148777709976,0.025247904128636704,0.025899306843975987,0.025247904128636704,0.001
1,normal,US,core,60,expanding,27,0.045577907312209086,0.02529145706758769,0.02591247784200789,0.02529145706758769,0.001
1,normal,US,core,60,expanding,28,0.04566106816187074,0.02579633111727532,0.026284633402494675,0.02579633111727532,0.001
1,normal,US,core,60,expanding,29,0.044450718741787736,0.024908537845574976,0.02572787776085002,0.024908537845574976,0.001
1,normal,US,core,60,expanding,30,0.04437806739854292,0.025462317316954402,0.026053568614895384,0.025462317316954402,0.001
1,normal,US,core,60,expanding,31,0.042607184016688296,0.025113940696875618,0.025906589116389562,0.025113940696875618,0.001
1,normal,US,core,60,expanding,32,0.042608923752668934,0.025438016260357788,0.02599155755508223,0.025438016260357788,0.001
1,normal,US,core,60,expanding,33,0.04140865462254047,0.02501815992407825,0.025536314355537323,0.02501815992407825,0.001
1,normal,US,core,60,expanding,34,0.04282558339395107,0.025894491498650484,0.026208598739548623,0.025894491498650484,0.001
1,normal,US,core,60,expanding,35,0.040898918465166106,0.024707867143417123,0.02567843331935558,0.024707867143417123,0.001
1,normal,US,core,60,expanding,36,0.04023608964795468,0.02498107648840113,0.025864330853553528,0.02498107648840113,0.001
1,normal,US,core,60,expanding,37,0.039348648086007264,0.0243410520936434,0.025377246650292517,0.0243410520936434,0.001
1,normal,US,core,60,expanding,38,0.03907777276525393,0.025226254668242944,0.02596603644510994,0.025226254668242944,0.001
1,normal,US,core,60,expanding,39,0.03749826636881978,0.02496353468640013,0.025534389446880416,0.02496353468640013,0.001
1,normal,US,core,60,expanding,40,0.03805500861526674,0.02528875590973634,0.025943813744636984,0.02528875590973634,0.001
1,normal,US,core,60,expanding,41,0.037272676174995197,0.025129425250911996,0.025763211613322828,0.025129425250911996,0.001
1,normal,US,core,60,expanding,42,0.03765106571159779,0.025258741591837518,0.025889713306347453,0.025258741591837518,0.001
1,normal,US,core,60,expanding,43,0.0364774746101192,0.024535218839992216,0.025579501653172982,0.024535218839992216,0.001
1,normal,US,core,60,expanding,44,0.03398577048663065,0.02506724191924844,0.02578822919302683,0.02506724191924844,0.0005
1,normal,US,core,60,expanding,45,0.03300693946271769,0.025320154177708186,0.02582955658003486,0.025320154177708186,0.0005
