refit_step,regime,country,feature_set,L,stage,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,22,tuning,1,0.6729470299344859,0.05126046918581434,0.047942248706819984,0.05126046918581434,0.001
0,normal,US,core,22,tuning,2,0.18362104552032094,0.04520818568255353,0.043662012256534675,0.04520818568255353,0.001
0,normal,US,core,22,tuning,3,0.12624310703343614,0.041932539668518495,0.03978543571038209,0.041932539668518495,0.001
0,normal,US,core,22,tuning,4,0.1031206165418678,0.03945363068782414,0.03735058555166005,0.03945363068782414,0.001
0,normal,US,core,22,tuning,5,0.08972414860382993,0.036850010016262175,0.03540187541822435,0.036850010016262175,0.001
0,normal,US,core,22,tuning,6,0.08238705463533827,0.034905966364365944,0.03419708496276216,0.034905966364365944,0.001
0,normal,US,core,22,tuning,7,0.07848262841090162,0.03447913824769352,0.03413019085619525,0.03447913824769352,0.001
0,normal,US,core,22,tuning,8,0.07428241381972112,0.03305052900266441,0.03293657045914486,0.03305052900266441,0.001
0,normal,US,core,22,tuning,9,0.06986014905918173,0.031961073459790955,0.03193582496108863,0.031961073459790955,0.001
0,normal,US,core,22,tuning,10,0.06640416832514326,0.031154024076617038,0.03126147905504515,0.031154024076617038,0.001
0,normal,US,core,22,tuning,11,0.06370212483556034,0.03070728854221371,0.030761684990476948,0.03070728854221371,0.001
0,normal,US,core,22,tuning,12,0.06165594536004659,0.030239656217336586,0.030474940296483368,0.030239656217336586,0.001
0,normal,US,core,22,tuning,13,0.0603164656340009,0.029779675542992955,0.03032674685326725,0.029779675542992955,0.001
0,normal,US,core,22,tuning,14,0.05946125945580223,0.029722636474061013,0.030642350767499844,0.029722636474061013,0.001
0,normal,US,core,22,tuning,15,0.058759785511105375,0.029433495764559572,0.03048911960169732,0.029433495764559572,0.001
0,normal,US,core,22,tuning,16,0.057624443174691786,0.028868236302552076,0.030021598956477737,0.028868236302552076,0.001
0,normal,US,core,22,tuning,17,0.05629163486294873,0.028187971673472218,0.02943863367786992,0.028187971673472218,0.001
0,normal,US,core,22,tuning,18,0.05512667556155859,0.027966016066483843,0.02926716222446191,0.027966016066483843,0.001
0,normal,US,core,22,tuning,19,0.05533910599027341,0.029204894847875387,0.030465615342698784,0.029204894847875387,0.001
0,normal,US,core,22,tuning,20,0.05638350969528334,0.03085224357446844,0.031399924006210014,0.03085224357446844,0.001
0,normal,US,core,22,tuning,21,0.053588143227466536,0.027177703833159483,0.028616747829930584,0.027177703833159483,0.001
0,normal,US,core,22,tuning,22,0.05175754422940281,0.02710296435422494,0.02829563227139796,0.02710296435422494,0.001
0,normal,US,core,22,tuning,23,0.05053917433448798,0.026772958264442107,0.02814001481052444,0.026772958264442107,0.001
0,normal,US,core,22,tuning,24,0.05063689576461282,0.026625712424571606,0.028184268918079822,0.026625712424571606,0.001
0,normal,US,core,22,tuning,25,0.05056622197832038,0.02707929416600536,0.028780942602384937,0.02707929416600536,0.001
0,normal,US,core,22,tuning,26,0.049873555920155056,0.026778930140897602,0.028477703872699982,0.026778930140897602,0.001
0,normal,US,core,22,tuning,27,0.048735846605243736,0.026199305015808527,0.027865599730445934,0.026199305015808527,0.001
0,normal,US,core,22,tuning,28,0.048603113219821345,0.02612096952457929,0.027842130125481857,0.02612096952457929,0.001
0,normal,US,core,22,tuning,29,0.04769629176878438,0.02588592947792002,0.027599798975578644,0.02588592947792002,0.001
0,normal,US,core,22,tuning,30,0.047685244196459114,0.026340252667400338,0.028116805379540317,0.026340252667400338,0.001
0,normal,US,core,22,tuning,31,0.04740986302847276,0.025800115961023672,0.027498613476105358,0.025800115961023672,0.001
0,normal,US,core,22,tuning,32,0.0456160922616227,0.026260398333162818,0.027647286679286495,0.026260398333162818,0.001
0,normal,US,core,22,tuning,33,0.045257389020176,0.026143947304261055,0.027755618927330368,0.026143947304261055,0.001
0,normal,US,core,22,tuning,34,0.044079053683388235,0.025810758058200777,0.02743643648524883,0.025810758058200777,0.001
0,normal,US,core,22,tuning,35,0.04349490036770867,0.026165045619909674,0.02723498262553347,0.026165045619909674,0.001
0,normal,US,core,22,tuning,36,0.04263103696146816,0.02584144252444654,0.027691395110321846,0.02584144252444654,0.001
0,normal,US,core,22,tuning,37,0.041407070458262446,0.02625242777330038,0.02814863579487612,0.02625242777330038,0.001
0,normal,US,core,22,tuning,38,0.039941995671696456,0.025947757258492823,0.02764370957234867,0.025947757258492823,0.0005
0,normal,US,core,22,tuning,39,0.03894828542266815,0.025860803961257513,0.027470329496641403,0.025860803961257513,0.0005
0,normal,US,core,22,tuning,40,0.038345164511502494,0.025839201212588748,0.027428339743478733,0.025839201212588748,0.0005
0,normal,US,core,22,tuning,41,0.03750081919574005,0.02581815272066448,0.027484115235242447,0.02581815272066448,0.0005
0,normal,US,core,60,tuning,1,0.6649928758640302,0.05049694210469897,0.047401134498976906,0.05049694210469897,0.001
0,normal,US,core,60,tuning,2,0.185649099856299,0.044160293830231644,0.04312417975704189,0.044160293830231644,0.001
0,normal,US,core,60,tuning,3,0.12840077760200813,0.041586064637736675,0.03984563032776235,0.041586064637736675,0.001
