date,protocol,RV_target,RV_pred
2007-08-01,static,1.671827846,1.154283035773957
2007-08-02,static,1.054531848,1.3400280303694425
2007-08-03,static,1.263486562,1.1025550057527642
2007-08-06,static,1.522837746,1.1628081708625135
2007-08-07,static,1.580264862,1.275516313297102
2007-08-08,static,1.177296037,1.3397910204123589
2007-08-09,static,2.193866741,1.1893110739095967
2007-08-10,static,2.032928187,1.5928407484073064
2007-08-13,static,1.079051281,1.6266697768508804
2007-08-14,static,1.241959907,1.318499371226939
2007-08-15,static,1.408628473,1.3440849935083632
2007-08-16,static,2.330884764,1.4216875751727103
2007-08-17,static,2.252215299,1.7167337413714672
2007-08-20,static,1.090452,1.7275590569351085
2007-08-21,static,0.988576749,1.4003272573059211
2007-08-22,static,1.15982926,1.350110432929285
2007-08-23,static,0.943930366,1.382986271400692
2007-08-24,static,0.59175895,1.1997099151370163
2007-08-27,static,0.617596879,0.9478380117738292
2007-08-28,static,0.787569287,0.9023421063016215
2007-08-29,static,1.059546777,0.9278385904318027
2007-08-30,static,1.14575198,0.9957167007792374
2007-08-31,static,1.326312202,1.0377395342523097
2007-09-04,static,0.617602287,1.1496034605636114
2007-09-05,static,1.009755561,0.9419418951453139
2007-09-06,static,0.750785796,1.07108511961393
2007-09-07,static,1.390555215,0.9623246081488781
2007-09-10,static,1.087906604,1.1650875799998928
2007-09-11,static,0.897741334,1.056758126399814
2007-09-12,static,0.762486785,1.013409498301534
2007-09-13,static,0.804098306,0.9404356102578826
2007-09-14,static,0.825664145,0.9542154048032133
2007-09-17,static,0.567288056,0.9073347338846596
2007-09-18,static,1.472714707,0.7797166341712962
2007-09-19,static,0.941722415,1.080511315855397
2007-09-20,static,0.642854074,0.9305354858029153
2007-09-21,static,0.649490324,0.8263609637051412
2007-09-24,static,0.636796693,0.8096082866624557
2007-09-25,static,0.703857578,0.8067172208944782
2007-09-26,static,0.613668453,0.7570110086902848
2007-09-27,static,0.532178107,0.7029804500251373
2007-09-28,static,0.500329153,0.6691725765005242
2007-10-01,static,0.546280273,0.6442410576426012
