refit_step,regime,country,feature_set,L,stage,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,22,tuning,1,0.35538330755257214,0.1320724440774743,0.07187936868768907,0.1320724440774743,0.001
0,normal,US,core,22,tuning,2,0.19436058100112907,0.2084655454613078,0.09287187106642328,0.2084655454613078,0.001
0,normal,US,core,22,tuning,3,0.18134719202951055,0.04396533936670946,0.04194148046814877,0.04396533936670946,0.001
0,normal,US,core,22,tuning,4,0.14311849197692986,0.07858939190458787,0.05534168461654262,0.07858939190458787,0.001
0,normal,US,core,22,tuning,5,0.1321720386157363,0.08988183081706703,0.05776370802651281,0.08988183081706703,0.001
0,normal,US,core,22,tuning,6,0.1208005710890248,0.05616325611733169,0.04546863579820738,0.05616325611733169,0.001
0,normal,US,core,22,tuning,7,0.10576920659708759,0.03349240988866109,0.03228520503333906,0.03349240988866109,0.001
0,normal,US,core,22,tuning,8,0.09839712559663537,0.05225825910800673,0.045621944215929085,0.05225825910800673,0.001
0,normal,US,core,22,tuning,9,0.08967727914261318,0.03345726492191299,0.03187459568113913,0.03345726492191299,0.001
0,normal,US,core,22,tuning,10,0.08487105107627499,0.03170397374290259,0.032047168635155845,0.03170397374290259,0.001
0,normal,US,core,22,tuning,11,0.08187299516531352,0.03743831769440905,0.03401968449265825,0.03743831769440905,0.001
0,normal,US,core,22,tuning,12,0.07801213017697875,0.057047604520119796,0.049139395061688934,0.057047604520119796,0.001
0,normal,US,core,22,tuning,13,0.07692936198186408,0.03621199036143651,0.03302863572278748,0.03621199036143651,0.001
0,normal,US,core,22,tuning,14,0.08018929358069779,0.040864507338379,0.035667378300793556,0.040864507338379,0.001
0,normal,US,core,22,tuning,15,0.07460018616875495,0.04538768083761053,0.038898009247341644,0.04538768083761053,0.001
0,normal,US,core,22,tuning,16,0.07263461933828254,0.03927656404435362,0.03463368413771094,0.03927656404435362,0.001
0,normal,US,core,22,tuning,17,0.06980223619882037,0.03229770685944867,0.03140286025646411,0.03229770685944867,0.0005
