refit_step,regime,country,feature_set,L,protocol,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,911,JP,core,60,expanding,1,0.4981306417727134,0.0361231219434215,0.1270406991243362,0.0361231219434215,0.001
0,911,JP,core,60,expanding,2,0.225836146255614,0.0165838546514924,0.0509825311601161,0.0165838546514924,0.001
0,911,JP,core,60,expanding,3,0.1523406476202145,0.0182405800073151,0.0605533011257648,0.0182405800073151,0.001
0,911,JP,core,60,expanding,4,0.1255012689761712,0.0114227302446191,0.0319974720478057,0.0114227302446191,0.001
0,911,JP,core,60,expanding,5,0.0813921790727427,0.0164471015746099,0.0525247305631637,0.0164471015746099,0.001
0,911,JP,core,60,expanding,6,0.0896210808989027,0.0210065466726809,0.0532143600285053,0.0210065466726809,0.001
0,911,JP,core,60,expanding,7,0.086556320144257,0.0177804212694888,0.0577328726649284,0.0177804212694888,0.001
0,911,JP,core,60,expanding,8,0.0860086620168786,0.0098077906322399,0.0294825285673141,0.0098077906322399,0.001
0,911,JP,core,60,expanding,9,0.0825712194954845,0.0110689465401439,0.0321158803999424,0.0110689465401439,0.001
0,911,JP,core,60,expanding,10,0.0587402674513803,0.0133843735699148,0.0416174754500389,0.0133843735699148,0.001
0,911,JP,core,60,expanding,11,0.0702549727030203,0.0163600492496958,0.0441620349884033,0.0163600492496958,0.001
0,911,JP,core,60,expanding,12,0.0659070101527261,0.0169523229899415,0.0549512207508087,0.0169523229899415,0.001
0,911,JP,core,60,expanding,13,0.0781776578178708,0.0102880151734581,0.0312151871621608,0.0102880151734581,0.001
0,911,JP,core,60,expanding,14,0.064769651478445,0.011142221241147,0.0326595641672611,0.011142221241147,0.001
0,911,JP,core,60,expanding,15,0.0616475444969157,0.0113995137318384,0.0350499972701072,0.0113995137318384,0.0005
0,911,JP,core,60,expanding,16,0.061814390752517,0.0103474661927167,0.0312066432088613,0.0103474661927167,0.0005
0,911,JP,core,60,expanding,17,0.0601034720074123,0.0104063138895385,0.0312524437904357,0.0104063138895385,0.0005
0,911,JP,core,60,expanding,18,0.058262634917464,0.0111857964350327,0.0344812199473381,0.0111857964350327,0.0005
1,911,JP,core,60,expanding,1,0.4839870971302653,0.0742288881082727,0.2836611866950989,0.0742288881082727,0.001
1,911,JP,core,60,expanding,2,0.1884877032714824,0.0342481670595467,0.162985160946846,0.0342481670595467,0.001
1,911,JP,core,60,expanding,3,0.14733421015383,0.0261298219788328,0.1261119395494461,0.0261298219788328,0.001
1,911,JP,core,60,expanding,4,0.1064227283545506,0.0216852614321704,0.108511246740818,0.0216852614321704,0.001
1,911,JP,core,60,expanding,5,0.0887216542448316,0.0183659175949416,0.0884200632572174,0.0183659175949416,0.001
1,911,JP,core,60,expanding,6,0.0859147355554507,0.0191519851771139,0.0920502617955207,0.0191519851771139,0.001
1,911,JP,core,60,expanding,7,0.0870853444542797,0.0152612755814377,0.0726874098181724,0.0152612755814377,0.001
1,911,JP,core,60,expanding,8,0.0750340381730038,0.0144971063875851,0.069199301302433,0.0144971063875851,0.001
1,911,JP,core,60,expanding,9,0.0647659763891831,0.0134701124126943,0.0637770071625709,0.0134701124126943,0.001
1,911,JP,core,60,expanding,10,0.0637864982245174,0.0134972511931627,0.0635020807385444,0.0134972511931627,0.001
1,911,JP,core,60,expanding,11,0.0653860952915543,0.0147479170858966,0.0670241862535476,0.0147479170858966,0.001
1,911,JP,core,60,expanding,12,0.0555353204277266,0.0134807280065824,0.0623626634478569,0.0134807280065824,0.001
1,911,JP,core,60,expanding,13,0.057091501389825,0.0144473127955456,0.0658363476395607,0.0144473127955456,0.001
1,911,JP,core,60,expanding,14,0.0578196203317555,0.0137441865580119,0.0624476373195648,0.0137441865580119,0.001
1,911,JP,core,60,expanding,15,0.0610460454344353,0.0130631838949856,0.0599151775240898,0.0130631838949856,0.001
1,911,JP,core,60,expanding,16,0.0594799321677003,0.0142119455280929,0.0632140263915062,0.0142119455280929,0.001
1,911,JP,core,60,expanding,17,0.0543020383835432,0.0132595657303846,0.0603024698793888,0.0132595657303846,0.001
1,911,JP,core,60,expanding,18,0.0528130491211564,0.012748825174782,0.0583167970180511,0.012748825174782,0.001
1,911,JP,core,60,expanding,19,0.0536571059536894,0.0140038919038538,0.0630529448390007,0.0140038919038538,0.001
1,911,JP,core,60,expanding,20,0.0518638739281912,0.0127061307161786,0.0578521825373172,0.0127061307161786,0.001
1,911,JP,core,60,expanding,21,0.0502871812454291,0.0135238189148575,0.0606043562293052,0.0135238189148575,0.001
1,911,JP,core,60,expanding,22,0.0518361848231367,0.0138395795023099,0.0618539899587631,0.0138395795023099,0.001
1,911,JP,core,60,expanding,23,0.0491793151090905,0.013168429368103,0.0601554028689861,0.013168429368103,0.001
1,911,JP,core,60,expanding,24,0.0487539589009015,0.0146427797371764,0.0659843683242797,0.0146427797371764,0.001
1,911,JP,core,60,expanding,25,0.0493074367039425,0.0133873371508293,0.0613072477281093,0.0133873371508293,0.001
1,911,JP,core,60,expanding,26,0.049557559922387,0.0140974738546548,0.0635716095566749,0.0140974738546548,0.001
1,911,JP,core,60,expanding,27,0.053622503068756,0.0131667623186155,0.0604921616613864,0.0131667623186155,0.0005
1,911,JP,core,60,expanding,28,0.0483591327709811,0.0141748482573093,0.0637266784906387,0.0141748482573093,0.0005
1,911,JP,core,60,expanding,29,0.0443778331468865,0.0132692337230008,0.0607890374958515,0.0132692337230008,0.0005
1,911,JP,core,60,expanding,30,0.0482986519032736,0.0136785726467672,0.0623171441257,0.0136785726467672,0.0005
2,911,JP,core,60,expanding,1,0.466695969022295,0.065617579420397,0.2464131712913513,0.065617579420397,0.001
2,911,JP,core,60,expanding,2,0.2015466293636358,0.0453928421739044,0.1856824606657028,0.0453928421739044,0.001
2,911,JP,core,60,expanding,3,0.1248067333919447,0.0206298004197582,0.1018842458724975,0.0206298004197582,0.001
2,911,JP,core,60,expanding,4,0.1247591555305996,0.0227651074691517,0.1080433875322341,0.0227651074691517,0.001
2,911,JP,core,60,expanding,5,0.0835676397308238,0.0154103863156383,0.0761594474315643,0.0154103863156383,0.001
2,911,JP,core,60,expanding,6,0.0791067765240774,0.0150452404705509,0.0739267840981483,0.0150452404705509,0.001
2,911,JP,core,60,expanding,7,0.0724865591516659,0.0133949766621215,0.0637185499072074,0.0133949766621215,0.001
2,911,JP,core,60,expanding,8,0.0652190272538167,0.0123428730238548,0.0576749518513679,0.0123428730238548,0.001
2,911,JP,core,60,expanding,9,0.0664660387537764,0.0125441588381846,0.0576373860239982,0.0125441588381846,0.001
2,911,JP,core,60,expanding,10,0.0600601182137645,0.0128715147179938,0.0580956600606441,0.0128715147179938,0.001
2,911,JP,core,60,expanding,11,0.0533669489500282,0.0128417914615304,0.0577829182147979,0.0128417914615304,0.001
2,911,JP,core,60,expanding,12,0.0557589951504326,0.0118509940085234,0.0539245642721653,0.0118509940085234,0.001
2,911,JP,core,60,expanding,13,0.0602658149440708,0.0151905783084507,0.0657602921128273,0.0151905783084507,0.001
2,911,JP,core,60,expanding,14,0.0524256157940663,0.0119646576538197,0.0538290403783321,0.0119646576538197,0.001
2,911,JP,core,60,expanding,15,0.0568991649029015,0.0128421971319028,0.0573899112641811,0.0128421971319028,0.001
2,911,JP,core,60,expanding,16,0.0530093261187181,0.0130453815210307,0.0580052025616169,0.0130453815210307,0.001
2,911,JP,core,60,expanding,17,0.057106335489255,0.0119387565293014,0.0541771277785301,0.0119387565293014,0.001
2,911,JP,core,60,expanding,18,0.0499879005101491,0.0128013834460827,0.0574698559939861,0.0128013834460827,0.001
2,911,JP,core,60,expanding,19,0.0487613446026478,0.0128180386087407,0.0575113594532012,0.0128180386087407,0.0005
2,911,JP,core,60,expanding,20,0.0513095335343723,0.0134100700885894,0.0594575181603431,0.0134100700885894,0.0005
2,911,JP,core,60,expanding,21,0.0489029890898638,0.0119996428016504,0.0544833652675151,0.0119996428016504,0.0005
2,911,JP,core,60,expanding,22,0.050056557739212,0.0145247857374606,0.0635279566049575,0.0145247857374606,0.0005
3,911,JP,core,60,expanding,1,0.4572323958375561,0.053087402792692,0.2092587053775787,0.053087402792692,0.001
3,911,JP,core,60,expanding,2,0.1760994054710687,0.0277435236378312,0.1256155520677566,0.0277435236378312,0.001
3,911,JP,core,60,expanding,3,0.1308345157486289,0.022581452398656,0.1018089726567268,0.022581452398656,0.001
