regime,country,tier,model,feature,importance_raw,importance_norm,rank
normal,US,extended,XGBoost,semivariance,0.00774133438244462,0.0264085898473421,19
normal,US,extended,XGBoost,parkinson_rv,0.29313698410987854,1.0,1
normal,US,extended,XGBoost,hl_range,0.2866516709327698,0.9778761687243196,2
normal,US,extended,XGBoost,weekday_sin,0.024925269186496735,0.08502942493654717,6
normal,US,extended,XGBoost,weekday_cos,0.005853340961039066,0.019967937443352485,24
normal,US,extended,XGBoost,momentum_1w,0.013935989700257778,0.04754087834592054,9
normal,US,extended,XGBoost,momentum_1m,0.03155772387981415,0.1076552110121497,5
normal,US,extended,XGBoost,momentum_3m,0.006993260234594345,0.023856628858448695,21
normal,US,extended,XGBoost,momentum_6m,0.018424944952130318,0.0628543853245893,7
normal,US,extended,XGBoost,fx_level,0.005885072518140078,0.02007618566456335,23
normal,US,extended,XGBoost,fx_change,0.007775652687996626,0.02652566243596893,18
normal,US,extended,XGBoost,rate_3y,0.00550809083506465,0.018790160005876345,26
normal,US,extended,XGBoost,rate_10y,0.010087843053042889,0.034413409429298054,11
normal,US,extended,XGBoost,rate_spread,0.005415098275989294,0.018472927571498505,27
normal,US,extended,XGBoost,policy_rate,0.007021953817456961,0.023954513412148888,20
normal,US,extended,XGBoost,gold_chg,0.008529077284038067,0.02909587580679023,15
normal,US,extended,XGBoost,crb_chg,0.006470635533332825,0.022073760337615374,22
normal,US,extended,XGBoost,wti_chg,0.005598030053079128,0.019096976350758868,25
normal,US,extended,XGBoost,natgas_chg,0.008921761997044086,0.030435470379608878,13
normal,US,extended,XGBoost,corn_chg,0.00831584818661213,0.028368471524886273,16
normal,US,extended,XGBoost,epu,0.013304775580763817,0.04538757066483531,10
normal,US,extended,XGBoost,spillover_KOSPI,0.004772784188389778,0.01628175374350158,28
normal,US,extended,XGBoost,spillover_Nikkei,0.00867926049977541,0.02960820698258294,14
normal,US,momentum,ElasticNet,RV_d,0.08831954999292538,0.30911271859341005,3
normal,US,momentum,ElasticNet,RV_w,0.14391812998532014,0.503704156307472,2
normal,US,momentum,ElasticNet,RV_m,0.06187779364496819,0.21656827979411455,4
normal,US,momentum,ElasticNet,log_return,0.03596893291963072,0.12588894124326575,7
normal,US,momentum,ElasticNet,neg_return,0.0,0.0,13
normal,US,momentum,ElasticNet,semivariance,0.007419100476152735,0.025966372313773533,9
normal,US,momentum,ElasticNet,parkinson_rv,0.03905129189967353,0.13667699852025783,6
normal,US,momentum,ElasticNet,hl_range,0.28571956014885325,1.0,1
normal,US,momentum,ElasticNet,weekday_sin,0.0,0.0,14
normal,US,momentum,ElasticNet,weekday_cos,0.004224399663028005,0.014785125879471435,11
normal,US,momentum,ElasticNet,momentum_1w,0.04741270468722262,0.16594140304052582,5
normal,US,momentum,ElasticNet,momentum_1m,0.009653287456343588,0.033785882392211614,8
normal,US,momentum,ElasticNet,momentum_3m,0.0037771245835347906,0.013219691999970168,12
normal,US,momentum,ElasticNet,momentum_6m,0.006881885057121779,0.024086153056992236,10
