sample_id,prediction_date,split,RV_target
0,2000-02-24,train,2.021974802017212
1,2000-02-25,train,1.9239219427108765
2,2000-02-28,train,1.6744157075881958
3,2000-02-29,train,2.552337646484375
4,2000-03-02,train,1.8621928691864014
5,2000-03-03,train,2.8074822425842285
6,2000-03-06,train,1.4029370546340942
7,2000-03-07,train,1.953936219215393
8,2000-03-08,train,2.1624321937561035
9,2000-03-09,train,1.5619559288024902
10,2000-03-10,train,1.640990138053894
11,2000-03-13,train,1.5240086317062378
12,2000-03-14,train,2.0596208572387695
13,2000-03-15,train,1.9016191959381104
14,2000-03-16,train,1.872546672821045
15,2000-03-17,train,1.5418288707733154
16,2000-03-20,train,1.717424988746643
17,2000-03-21,train,2.106072425842285
18,2000-03-22,train,1.7323131561279297
19,2000-03-23,train,1.8068081140518188
20,2000-03-24,train,1.9622915983200073
21,2000-03-27,train,1.9563926458358765
22,2000-03-28,train,1.7492897510528564
23,2000-03-29,train,1.7822816371917725
24,2000-03-30,train,2.132960796356201
25,2000-03-31,train,1.467226266860962
26,2000-04-03,train,2.280000686645508
27,2000-04-04,train,2.5578572750091553
28,2000-04-06,train,1.8037747144699097
29,2000-04-07,train,1.9856116771697998
30,2000-04-10,train,1.9453065395355225
31,2000-04-11,train,1.9938291311264038
32,2000-04-12,train,1.3059210777282715
33,2000-04-14,train,1.4320743083953857
34,2000-04-17,train,3.0007262229919434
35,2000-04-18,train,4.629256248474121
36,2000-04-19,train,2.3667824268341064
37,2000-04-20,train,2.0263679027557373
38,2000-04-21,train,1.374307632446289
39,2000-04-24,train,1.5357431173324585
40,2000-04-25,train,1.8713120222091675
41,2000-04-26,train,2.361956834793091
42,2000-04-27,train,2.852036476135254
43,2000-04-28,train,2.154448986053467
44,2000-05-02,train,2.314908742904663
45,2000-05-03,train,1.6009936332702637
46,2000-05-04,train,1.8776867389678955
47,2000-05-08,train,1.842365026473999
48,2000-05-09,train,1.2824901342391968
49,2000-05-10,train,1.0925482511520386
50,2000-05-12,train,1.6740919351577759
51,2000-05-15,train,1.4930540323257446
52,2000-05-16,train,2.0935659408569336
53,2000-05-17,train,2.563326835632324
54,2000-05-18,train,2.37846302986145
55,2000-05-19,train,2.8845090866088867
56,2000-05-22,train,2.194732666015625
57,2000-05-23,train,2.880378246307373
58,2000-05-24,train,3.5195558071136475
59,2000-05-25,train,2.378612756729126
60,2000-05-26,train,3.16522479057312
61,2000-05-29,train,2.8418846130371094
62,2000-05-30,train,2.539525270462036
63,2000-05-31,train,2.718221664428711
64,2000-06-01,train,2.751593589782715
65,2000-06-02,train,2.4956235885620117
66,2000-06-05,train,1.4420005083084106
67,2000-06-07,train,2.7844130992889404
68,2000-06-08,train,3.6790974140167236
69,2000-06-09,train,3.6901893615722656
70,2000-06-12,train,2.8209259510040283
71,2000-06-13,train,2.4022743701934814
72,2000-06-14,train,3.00815486907959
73,2000-06-15,train,2.5794317722320557
74,2000-06-16,train,2.9511330127716064
75,2000-06-19,train,2.7699952125549316
76,2000-06-20,train,1.6655925512313843
77,2000-06-21,train,2.110159158706665
78,2000-06-22,train,2.4059624671936035
79,2000-06-23,train,1.3728556632995605
80,2000-06-26,train,1.2995344400405884
81,2000-06-27,train,1.2514246702194214
82,2000-06-28,train,1.4303522109985352
83,2000-06-29,train,1.9918968677520752
84,2000-06-30,train,1.437709927558899
85,2000-07-03,train,0.8760907649993896
86,2000-07-04,train,1.4898570775985718
87,2000-07-05,train,1.8074382543563843
88,2000-07-06,train,1.4565571546554565
89,2000-07-07,train,1.4770910739898682
90,2000-07-10,train,1.1391303539276123
91,2000-07-11,train,1.8590655326843262
92,2000-07-12,train,1.8024405241012573
93,2000-07-13,train,1.4047287702560425
94,2000-07-14,train,1.3164383172988892
95,2000-07-18,train,1.1253187656402588
96,2000-07-19,train,1.519389033317566
97,2000-07-20,train,1.704054355621338
98,2000-07-21,train,1.7926149368286133
99,2000-07-24,train,1.6555382013320923
100,2000-07-25,train,2.5124752521514893
101,2000-07-26,train,2.4340860843658447
102,2000-07-27,train,1.7522796392440796
103,2000-07-28,train,1.5557788610458374
104,2000-07-31,train,2.367527723312378
105,2000-08-01,train,2.243250846862793
106,2000-08-02,train,1.7749589681625366
