sample_id,prediction_date,split,RV_target
0,2000-02-25,train,0.7965376377105713
1,2000-02-28,train,1.0433039665222168
2,2000-02-29,train,1.0189405679702759
3,2000-03-01,train,0.7823690176010132
4,2000-03-02,train,0.9425893425941467
5,2000-03-03,train,0.7335417866706848
6,2000-03-06,train,0.9507453441619873
7,2000-03-07,train,0.9693654775619507
8,2000-03-08,train,0.9731574654579163
9,2000-03-09,train,0.9991729855537415
10,2000-03-10,train,0.9884876012802124
11,2000-03-13,train,1.235766053199768
12,2000-03-14,train,1.611821174621582
13,2000-03-15,train,1.384088158607483
14,2000-03-16,train,1.224042534828186
15,2000-03-17,train,0.8038713932037354
16,2000-03-21,train,0.786750078201294
17,2000-03-22,train,0.8178581595420837
18,2000-03-23,train,0.8071271181106567
19,2000-03-24,train,1.1244988441467285
20,2000-03-27,train,1.0301704406738281
21,2000-03-28,train,1.1506844758987427
22,2000-03-29,train,1.0628905296325684
23,2000-03-30,train,0.9746261239051819
24,2000-03-31,train,1.291250467300415
25,2000-04-03,train,1.080552101135254
26,2000-04-04,train,0.8276875019073486
27,2000-04-05,train,1.3118079900741577
28,2000-04-06,train,1.2146073579788208
29,2000-04-07,train,1.0089432001113892
30,2000-04-10,train,0.915595293045044
31,2000-04-11,train,0.6434724926948547
32,2000-04-12,train,0.9442655444145203
33,2000-04-13,train,1.1606545448303223
34,2000-04-14,train,1.0222898721694946
35,2000-04-17,train,2.30949330329895
36,2000-04-18,train,2.242011308670044
37,2000-04-19,train,1.48176109790802
38,2000-04-20,train,1.421717643737793
39,2000-04-21,train,4.147334575653076
40,2000-04-24,train,2.007105588912964
41,2000-04-25,train,1.8531848192214966
42,2000-04-26,train,1.8247075080871582
43,2000-04-27,train,1.2002063989639282
44,2000-04-28,train,1.3206431865692139
45,2000-05-01,train,0.9291456341743469
46,2000-05-02,train,0.8913030028343201
47,2000-05-08,train,0.8398529291152954
48,2000-05-09,train,0.9757667183876038
49,2000-05-10,train,1.4972851276397705
50,2000-05-11,train,1.9277846813201904
51,2000-05-12,train,1.6802160739898682
52,2000-05-15,train,1.1248971223831177
53,2000-05-16,train,0.944818377494812
54,2000-05-17,train,0.975250780582428
55,2000-05-18,train,1.436882495880127
56,2000-05-19,train,1.4429957866668701
57,2000-05-22,train,1.3770630359649658
58,2000-05-23,train,1.4186877012252808
59,2000-05-24,train,2.011230945587158
60,2000-05-25,train,1.2926796674728394
61,2000-05-26,train,1.3791162967681885
62,2000-05-29,train,0.9895359873771667
63,2000-05-30,train,1.1153417825698853
64,2000-05-31,train,1.6010292768478394
65,2000-06-01,train,1.1315768957138062
66,2000-06-02,train,1.2571089267730713
67,2000-06-05,train,1.5520737171173096
68,2000-06-06,train,0.77531498670578
69,2000-06-07,train,1.011272668838501
70,2000-06-08,train,0.8516942858695984
71,2000-06-09,train,1.3301523923873901
72,2000-06-12,train,0.921952486038208
73,2000-06-13,train,1.0050106048583984
74,2000-06-14,train,1.124854564666748
75,2000-06-15,train,1.2046971321105957
76,2000-06-16,train,1.0692508220672607
77,2000-06-19,train,0.7965267896652222
78,2000-06-20,train,1.059949278831482
79,2000-06-21,train,0.976300835609436
80,2000-06-22,train,0.8996000289916992
81,2000-06-23,train,1.180641531944275
82,2000-06-26,train,0.8411951661109924
83,2000-06-27,train,0.855628490447998
84,2000-06-28,train,1.0719974040985107
85,2000-06-29,train,0.6709809899330139
86,2000-06-30,train,0.8396943807601929
87,2000-07-03,train,0.6252127885818481
88,2000-07-04,train,0.8445603847503662
89,2000-07-05,train,0.7694060802459717
90,2000-07-06,train,1.0283069610595703
91,2000-07-07,train,0.8273754715919495
92,2000-07-10,train,0.8090762495994568
93,2000-07-11,train,0.7964369058609009
94,2000-07-12,train,1.1249700784683228
95,2000-07-13,train,1.2628082036972046
96,2000-07-14,train,0.863385796546936
97,2000-07-17,train,1.16920804977417
98,2000-07-18,train,1.2470009326934814
99,2000-07-19,train,1.4875967502593994
100,2000-07-21,train,0.8369795083999634
101,2000-07-24,train,1.1060365438461304
102,2000-07-25,train,1.2365299463272095
103,2000-07-26,train,1.152069091796875
104,2000-07-27,train,1.8486721515655518
105,2000-07-28,train,1.414973258972168
106,2000-07-31,train,2.2501697540283203
107,2000-08-01,train,1.3140193223953247
108,2000-08-02,train,0.6348292231559753
109,2000-08-03,train,1.477656364440918
110,2000-08-04,train,1.5118123292922974
111,2000-08-07,train,0.9551370739936829
112,2000-08-08,train,1.5011004209518433
113,2000-08-09,train,1.2731120586395264
114,2000-08-10,train,0.7818127870559692
115,2000-08-11,train,1.1847994327545166
116,2000-08-14,train,0.8684579133987427
117,2000-08-15,train,0.803415834903717
118,2000-08-16,train,0.7430924773216248
119,2000-08-17,train,0.937252938747406
120,2000-08-18,train,0.9328844547271729
121,2000-08-21,train,0.946732759475708
122,2000-08-22,train,1.2879737615585327
123,2000-08-23,train,1.0446566343307495
124,2000-08-24,train,1.2542929649353027
125,2000-08-25,train,1.2331147193908691
126,2000-08-28,train,1.0049054622650146
127,2000-08-29,train,1.0210134983062744
128,2000-08-30,train,0.9982965588569641
129,2000-08-31,train,1.0024306774139404
130,2000-09-01,train,1.0949516296386719
131,2000-09-04,train,0.9292694330215454
132,2000-09-05,train,1.1772574186325073
133,2000-09-06,train,0.97689288854599
134,2000-09-07,train,0.8448942303657532
135,2000-09-08,train,1.3155003786087036
136,2000-09-12,train,1.1139203310012817
137,2000-09-13,train,1.170896053314209
138,2000-09-14,train,1.031631588935852
139,2000-09-18,train,0.7174454927444458
140,2000-09-19,train,1.3241856098175049
141,2000-09-20,train,0.9911893010139465
142,2000-09-21,train,1.125316858291626
143,2000-09-22,train,1.478933572769165
144,2000-09-25,train,1.461523175239563
145,2000-09-26,train,0.7753065228462219
146,2000-09-27,train,1.0853869915008545
147,2000-09-28,train,0.8713902831077576
148,2000-09-29,train,1.230138897895813
149,2000-10-02,train,1.4032702445983887
150,2000-10-03,train,0.9840066432952881
151,2000-10-04,train,1.0950700044631958
152,2000-10-05,train,0.8896676898002625
153,2000-10-06,train,1.2150014638900757
154,2000-10-10,train,1.0814803838729858
155,2000-10-11,train,1.165361762046814
156,2000-10-12,train,1.1367257833480835
157,2000-10-13,train,1.6201788187026978
158,2000-10-16,train,1.3625763654708862
159,2000-10-17,train,0.866988480091095
160,2000-10-18,train,1.6140857934951782
161,2000-10-19,train,1.3326283693313599
162,2000-10-20,train,1.9199352264404297
163,2000-10-23,train,0.9447994232177734
164,2000-10-24,train,0.8996774554252625
165,2000-10-25,train,1.0064964294433594
166,2000-10-26,train,1.4847233295440674
167,2000-10-27,train,1.2814769744873047
168,2000-10-30,train,1.246169090270996
169,2000-10-31,train,1.256426215171814
170,2000-11-01,train,1.2710320949554443
171,2000-11-02,train,1.0178899765014648
172,2000-11-06,train,0.7221992611885071
173,2000-11-07,train,1.066016435623169
174,2000-11-08,train,1.8040426969528198
175,2000-11-09,train,1.1859997510910034
176,2000-11-10,train,0.8916670083999634
177,2000-11-13,train,1.4827234745025635
178,2000-11-14,train,0.9413055777549744
179,2000-11-15,train,0.9621057510375977
180,2000-11-16,train,0.9608235955238342
181,2000-11-17,train,1.028079867362976
182,2000-11-20,train,0.9443256855010986
183,2000-11-21,train,1.1969388723373413
184,2000-11-22,train,1.2301040887832642
185,2000-11-24,train,1.2483634948730469
186,2000-11-27,train,1.297559380531311
187,2000-11-28,train,1.1497817039489746
188,2000-11-29,train,0.8754934668540955
189,2000-11-30,train,1.1703840494155884
190,2000-12-01,train,1.2449442148208618
191,2000-12-04,train,0.8979194164276123
192,2000-12-05,train,1.483860731124878
193,2000-12-06,train,1.1997400522232056
194,2000-12-07,train,0.7329476475715637
