date,RV_target,RV_d,RV_w,RV_m,log_return,neg_return,semivariance,parkinson_rv,hl_range,log_volume,implied_vol,fx_level,fx_change,rate_3y,rate_10y,rate_spread,policy_rate,gold_chg,crb_chg,wti_chg,natgas_chg,corn_chg,spillover_Nikkei,spillover_KOSPI,epu,weekday_sin,weekday_cos,momentum_1w,momentum_1m,momentum_3m,momentum_6m,split
2001-11-30,0.7033813571343202,0.9690435178089092,0.9206897420576872,1.06274259314578,-0.0006579957687012,-0.0006579957687012,4.329584316287513e-07,1.637707411606671e-05,0.006740093904954,17.69492422789395,23.84,116.13,0.0,3.448,4.74954,1.30154,2.0,0.0014625228519193,0.0194597715037523,0.0440386680988185,0.0546661460367043,0.0413223140495868,-0.023737001500564,-0.0050123828056262,164.1505176603284,-0.9510565162951536,0.3090169943749472,-0.0095,0.076,0.0052,-0.0926999999999999,test
2001-12-03,1.123144354828888,0.7033813571343202,0.9682987064914952,1.030215965775828,-0.0084165566135796,-0.0084165566135796,7.083842522959092e-05,5.254089941755301e-05,0.0120984157890079,17.6048753589387,25.77,115.96,-0.0014638766899164,3.36,4.69148,1.33148,2.0,0.0146038700255568,0.0011061874065831,0.0334362139917694,-0.0248056275453536,0.002267573696145,0.0049371670727633,0.0236192476515419,123.9552313843577,0.0,1.0,-0.0238,0.0393,-0.0032,-0.1037,test
2001-12-04,0.7437601024197117,1.123144354828888,1.043330934668007,1.021158112061801,0.0131008160270405,0.0,0.0,7.091112263849318e-05,0.0139238294898672,17.70895929475475,24.08,116.08,0.001034839599862,3.363,4.66103,1.29803,2.0,-0.0057574667146453,-0.0133319302030372,-0.021901443504231,-0.0269552012148821,0.001131221719457,0.0032499033497772,0.0104593282891159,123.9552313843577,0.9510565162951536,0.3090169943749475,-0.0040999999999999,0.053,0.0105,-0.0965,test
2001-12-05,1.022849499371242,0.7437601024197117,0.935864642757538,0.9922669386639822,0.0220729001136721,0.0,0.0,0.0002393938526508,0.0255051907549023,18.10034289951905,23.02,116.41,0.0028428669882838,3.626,4.90093,1.27493,2.0,-0.0061527325370973,-0.0046862292852667,-0.0081424936386768,-0.0280920795942255,-0.0090395480225988,-0.0265014680498412,-0.0011687274504959,123.9552313843577,0.5877852522924732,-0.8090169943749473,0.0371,0.0612,0.0341,-0.0882,test
2001-12-06,0.7409783631545263,1.022849499371242,0.9124357663126142,0.9875138530830884,-0.0027808099376053,-0.0027808099376053,7.732903909084646e-06,2.100396012690626e-05,0.0076428755033843,17.88569167114344,23.71,115.63,-0.0067004552873464,3.75,5.00932,1.25932,2.0,0.0014566642388929,-0.0142186443061798,-0.0487429451000512,0.0297069450020071,-0.0125427594070695,0.0128315131362906,0.0574208129470749,123.9552313843577,-0.587785252292473,-0.8090169943749476,0.0236,0.0431,0.0549,-0.081,test
2001-12-07,0.9054286161155202,0.7409783631545263,0.8668227353817375,0.9665574296743704,-0.0075599931753079,-0.0075599931753079,5.7153496810703e-05,5.590286079040666e-05,0.0124664381728551,17.68952599756626,23.49,116.15,0.0044971028279858,3.843,5.16471,1.32171,2.0,-0.0010909090909091,0.0033222817077478,0.0269687162891045,0.0011695906432749,0.0115473441108544,0.0263341737862679,-0.0024728724090207,123.9552313843577,-0.9510565162951536,0.3090169943749472,0.0166,0.0381,0.0668,-0.0929,test
2001-12-10,0.8142798787825314,0.9054286161155202,0.9072321871779776,0.9552161221866884,-0.0159951892485032,-0.0159951892485032,0.0002558460790954,9.503040342333672e-05,0.0163606537243513,17.62116242500521,25.62,116.26,0.0009470512268618,3.71,5.10025,1.39025,2.0,-0.0061885693483799,-0.0126559992415881,-0.0351890756302519,0.0697040498442367,0.0022831050228311,0.0002215636866182,0.0257218859003776,123.9552313843577,0.0,1.0,0.0089,0.0175,0.0434,-0.0988,test
2001-12-11,0.8531661208011732,0.8142798787825314,0.8454592919687063,0.9558512264833432,-0.0027847463190532,-0.0027847463190532,7.754812061480684e-06,7.585470905571977e-05,0.01457651571132,17.77278796908081,25.3,116.05,-0.0018062962325822,3.615,5.05524,1.44024,1.75,-0.0003663003663004,0.0004389333918579,-0.01578660860098,0.0203858755005461,0.0,-0.0090128290977889,-0.0520481270336543,123.9552313843577,0.9510565162951536,0.3090169943749475,-0.0069999999999999,0.0147,0.0405,-0.0938,test
2001-12-12,0.9190136617285584,0.8531661208011732,0.8673404956449986,0.9417984104396748,0.0002726677033203,0.0,0.0,6.801995627836987e-05,0.0136930883762652,17.82059066364545,24.87,115.33,-0.0062042223179663,3.602,5.00988,1.40788,1.75,0.0058629534628069,-0.0015904354502579,0.0154867256637167,-0.0299678915447735,-0.0159453302961275,-0.0199630335995413,0.0019569039370368,123.9552313843577,0.5877852522924732,-0.8090169943749473,-0.0284,0.0168,0.0408,-0.0946,test
2001-12-13,1.290168077932872,0.9190136617285584,0.8465733281164619,0.9343759559892052,-0.0156798177954274,-0.0156798177954274,0.0002458566860978,0.0001048190124876,0.0171702192285015,17.82990497121526,25.91,115.8,0.0040752622908175,3.693,5.07442,1.38142,1.75,0.0003642987249545,-0.0030211480362537,-0.0130718954248365,0.0136079440970944,0.0023148148148148,-0.0032169057912078,0.0167964230188172,123.9552313843577,-0.587785252292473,-0.8090169943749476,-0.0409,-0.0018,0.0408,-0.0842,test
