date,feature_set,protocol,RV_target,RV_pred
2020-01-06,core,static,0.443829037,0.6199402213096619
2020-01-07,core,static,0.447919573,0.5437095165252686
2020-01-08,core,static,1.027152773,0.7177231907844543
2020-01-09,core,static,0.400295234,0.6125960946083069
2020-01-10,core,static,0.508165364,0.4448613226413727
2020-01-14,core,static,0.471203499,0.3867890536785126
2020-01-15,core,static,0.343579157,0.45289015769958496
2020-01-16,core,static,0.330707564,0.3190745413303375
2020-01-17,core,static,0.275326113,0.3393319249153137
2020-01-20,core,static,0.247012754,0.26147475838661194
2020-01-21,core,static,0.602698829,0.537745475769043
2020-01-22,core,static,0.333309522,0.5023148655891418
2020-01-23,core,static,0.519067395,0.41665011644363403
2020-01-24,core,static,0.357799229,0.36473628878593445
2020-01-27,core,static,0.54408387,0.4275844693183899
2020-01-28,core,static,0.604298524,0.46338948607444763
2020-01-29,core,static,0.416585653,0.5013574361801147
2020-01-30,core,static,0.649670362,0.8605316877365112
2020-01-31,core,static,0.766731377,0.6747816205024719
2020-02-03,core,static,0.71047625,0.6942335963249207
2020-02-04,core,static,0.551705316,0.6885759830474854
2020-02-05,core,static,0.552148388,0.5302122831344604
2020-02-06,core,static,0.612367349,0.6908898949623108
2020-02-07,core,static,0.595072367,0.5986413359642029
2020-02-10,core,static,0.569252315,0.54034823179245
2020-02-12,core,static,0.597908773,0.5152196884155273
2020-02-13,core,static,0.505251332,0.49626603722572327
2020-02-14,core,static,0.432818531,0.4902282655239105
2020-02-17,core,static,0.685831233,0.5601630210876465
2020-02-18,core,static,0.550133498,0.7419342398643494
2020-02-19,core,static,0.453024339,0.5589353442192078
2020-02-20,core,static,0.909203928,0.8082541227340698
2020-02-21,core,static,0.69606655,0.6788437366485596
2020-02-25,core,static,1.977907045,1.395419955253601
2020-02-26,core,static,1.144741078,1.069886326789856
2020-02-27,core,static,0.999743708,1.2641234397888184
2020-02-28,core,static,1.812671215,1.8215501308441162
2020-03-02,core,static,1.690420042,1.6702252626419067
2020-03-03,core,static,1.299304182,1.6236616373062134
2020-03-04,core,static,1.276170519,1.207028865814209
2020-03-05,core,static,0.896021844,0.7558794021606445
2020-03-06,core,static,0.924346866,1.3917624950408936
2020-03-09,core,static,2.136873712,2.704206705093384
2020-03-10,core,static,2.992283522,2.484520673751831
2020-03-11,core,static,1.907355177,2.099607467651367
2020-03-12,core,static,2.338532313,2.8160996437072754
2020-03-13,core,static,6.204045398,4.319082736968994
2020-03-16,core,static,3.785798664,2.7204649448394775
2020-03-17,core,static,4.355636836,3.8895599842071533
2020-03-18,core,static,2.641051938,2.9553239345550537
2020-03-19,core,static,2.735579004,3.1879353523254395
2020-03-23,core,static,2.372933879,2.0684640407562256
2020-03-24,core,static,3.043653469,3.429659605026245
2020-03-25,core,static,3.030864193,3.568904399871826
2020-03-26,core,static,2.714886874,2.9747087955474854
2020-03-27,core,static,2.881819608,2.173064708709717
2020-03-30,core,static,1.653753133,2.392425775527954
2020-03-31,core,static,1.782464038,1.870404839515686
2020-04-01,core,static,1.90831348,3.2362489700317383
2020-04-02,core,static,2.137783925,1.8390095233917236
2020-04-03,core,static,1.416143394,1.754035234451294
2020-04-06,core,static,2.191153262,2.071556329727173
2020-04-07,core,static,2.200023272,1.8225895166397095
2020-04-08,core,static,2.17473622,2.0106306076049805
2020-04-09,core,static,1.129311095,1.2876591682434082
2020-04-10,core,static,0.94408103,1.215169072151184
2020-04-13,core,static,0.975749801,1.3759297132492065
2020-04-14,core,static,1.2967237,1.5268343687057495
2020-04-15,core,static,1.249582365,1.0265023708343506
2020-04-16,core,static,0.833278258,0.9954058527946472
2020-04-17,core,static,1.198615318,1.1053844690322876
2020-04-20,core,static,0.817113554,0.8686254024505615
2020-04-21,core,static,1.104070623,1.1277176141738892
2020-04-22,core,static,1.151931086,1.1148320436477661
2020-04-23,core,static,0.868628915,0.9411808848381042
2020-04-24,core,static,0.661546247,0.881859540939331
2020-04-27,core,static,0.899870304,1.0478096008300781
2020-04-28,core,static,0.776415023,0.8417116403579712
2020-04-30,core,static,1.134217036,0.8903409242630005
2020-05-01,core,static,0.884076521,1.3738131523132324
2020-05-07,core,static,0.718969849,0.9300702214241028
2020-05-08,core,static,0.964118011,0.9601434469223022
2020-05-11,core,static,0.701833851,0.8772823214530945
2020-05-12,core,static,0.765501596,0.6948665380477905
2020-05-13,core,static,0.738572469,0.8614856004714966
2020-05-14,core,static,0.786095812,0.8993114233016968
2020-05-15,core,static,1.065849985,0.9895423054695129
2020-05-18,core,static,0.718953333,0.7641599774360657
2020-05-19,core,static,0.986823879,0.7637446522712708
2020-05-20,core,static,0.542957235,0.8352503180503845
2020-05-21,core,static,0.637151059,0.7504590749740601
2020-05-22,core,static,0.880887866,0.8523937463760376
2020-05-25,core,static,0.480314406,0.6434160470962524
2020-05-26,core,static,0.680123899,0.8424166440963745
2020-05-27,core,static,1.099315168,0.7721009850502014
2020-05-28,core,static,1.240934257,0.9044836163520813
2020-05-29,core,static,0.74741215,0.9135310649871826
2020-06-01,core,static,0.779882255,0.7654872536659241
2020-06-02,core,static,0.740833639,0.8196353316307068
2020-06-03,core,static,1.175509488,0.9058975577354431
2020-06-04,core,static,1.019072518,1.0525754690170288
2020-06-05,core,static,0.752184971,0.90959632396698
2020-06-08,core,static,0.705807737,0.6135553121566772
2020-06-09,core,static,0.800625867,0.7821683287620544
