date,protocol,RV_target,RV_pred
2013-12-19,static,0.480279847,0.7664055041506174
2013-12-20,static,0.564599767,0.7450929884734734
2013-12-23,static,0.469280214,0.7329580740517992
2013-12-24,static,0.375924256,0.7383489519522002
2013-12-26,static,0.343297252,0.7214718186005856
2013-12-27,static,0.40542946,0.7032780612941141
2013-12-30,static,0.397558376,0.6866674538977169
2014-01-02,static,0.74561902,0.6815704226726002
2014-01-03,static,0.83173497,0.909904358909296
2014-01-06,static,0.669451505,0.9308248082002324
2014-01-07,static,0.669123668,0.906455235233558
2014-01-08,static,0.614557392,0.881938766439135
2014-01-09,static,0.725580443,0.8543096118445097
2014-01-10,static,0.814300775,0.8483345187759631
2014-01-13,static,0.50972996,0.8296441390649959
2014-01-14,static,0.686512093,0.8185064481604387
2014-01-15,static,0.455951034,0.7952640212635718
2014-01-16,static,0.60305739,0.779127948467099
2014-01-17,static,0.550264396,0.7591774574419116
2014-01-20,static,0.551341637,0.7607568287076738
2014-01-21,static,0.407621156,0.75157290627973
2014-01-22,static,0.400559329,0.7450788524950024
2014-01-23,static,0.558196067,0.7307450336664142
2014-01-24,static,0.65519576,0.7824894703685176
2014-01-27,static,0.656322901,0.7668549545784973
2014-01-28,static,0.533162166,0.8651529830283997
2014-01-29,static,0.483868196,0.8438955047764726
2014-02-03,static,0.48515627,0.8904846632121519
2014-02-04,static,0.61776161,0.9154483229258635
2014-02-05,static,0.486773395,1.0109668974292518
2014-02-06,static,0.56847546,0.9789888681650669
2014-02-07,static,0.412947203,0.9773401112647696
2014-02-10,static,0.477534353,0.9686171752653788
2014-02-11,static,0.432660422,0.9365900602130088
2014-02-12,static,0.415712115,0.914994508761295
2014-02-13,static,0.532177918,0.8873128346425175
2014-02-14,static,0.434893933,0.8689536264524452
2014-02-17,static,0.44116376,0.8637611065196062
2014-02-18,static,0.455452399,0.8416227592661276
2014-02-19,static,0.518359381,0.8161272849847733
2014-02-20,static,0.571203674,0.79402544979092
2014-02-21,static,0.292270587,0.7914649233035982
2014-02-24,static,0.496157795,0.8629871627269183
2014-02-25,static,0.385845733,0.8457281470237008
2014-02-26,static,0.388913119,0.8505708116467009
2014-02-27,static,0.368915449,0.8288342934534532
2014-02-28,static,0.57484431,0.8112780973381473
2014-03-03,static,0.490520226,0.7876791411095426
2014-03-04,static,0.373119191,0.7952545395410227
2014-03-05,static,0.295784611,0.7868599260222239
2014-03-06,static,0.36687256,0.802356017888833
2014-03-07,static,0.35954281,0.7814034996182556
2014-03-10,static,0.39663767,0.759239799811995
2014-03-11,static,0.362162352,0.792591007721548
2014-03-12,static,0.524066125,0.7814434467972955
2014-03-13,static,0.764315617,0.8825212739319858
2014-03-14,static,0.491798759,0.855248933647804
2014-03-17,static,0.440258001,0.8552417850027131
2014-03-18,static,0.403460495,0.8363833156282465
2014-03-19,static,0.377173239,0.8316217104809402
2014-03-20,static,0.497708935,0.8074470038827501
2014-03-21,static,0.305615723,0.8268546358514761
2014-03-24,static,0.559593151,0.8327720092867144
2014-03-25,static,0.473950109,0.8220774372319148
2014-03-26,static,0.363627924,0.7999876365652738
2014-03-27,static,0.330019281,0.8440665918906212
2014-03-28,static,0.445678078,0.8410648609199581
2014-03-31,static,0.532905699,0.816684817149971
2014-04-01,static,0.453674514,0.7951502020251219
2014-04-02,static,0.238201008,0.7773021571916712
2014-04-03,static,0.342502509,0.7588575713631238
2014-04-04,static,0.384964852,0.7395020390998825
2014-04-07,static,0.500297462,0.7238618720166421
