refit_step,regime,country,feature_set,L,stage,epoch,train_loss,valid_loss,valid_mse,valid_qlike,lr
0,normal,US,core,22,tuning,1,1.4044197648512033,0.06317596603740915,0.05767595242311361,0.06317596603740915,0.001
0,normal,US,core,22,tuning,2,0.5655768313210826,0.06974139485537728,0.06177390988165211,0.06974139485537728,0.001
0,normal,US,core,22,tuning,3,0.2777005012063149,0.07058543577932412,0.06606802574023898,0.07058543577932412,0.001
0,normal,US,core,22,tuning,4,0.2310591967841211,0.07480131849697184,0.06834659215961049,0.07480131849697184,0.001
0,normal,US,core,22,tuning,5,0.20617809851189314,0.061642516512829613,0.053231042423267136,0.061642516512829613,0.001
0,normal,US,core,22,tuning,6,0.18007709549432346,0.05224252629423933,0.045285888428509,0.05224252629423933,0.001
0,normal,US,core,22,tuning,7,0.15559237978016352,0.047227823104486234,0.04262641817331314,0.047227823104486234,0.001
0,normal,US,core,22,tuning,8,0.1303403736549791,0.058137627124355246,0.054444655393187706,0.058137627124355246,0.001
0,normal,US,core,22,tuning,9,0.13923580340641006,0.057496877935830554,0.050142862756732895,0.057496877935830554,0.001
0,normal,US,core,22,tuning,10,0.13599277857146283,0.054131410739942806,0.04761108162669325,0.054131410739942806,0.001
0,normal,US,core,22,tuning,11,0.11907088520412347,0.05008308127565282,0.04464603696946099,0.05008308127565282,0.001
0,normal,US,core,22,tuning,12,0.12816593917045832,0.047203034400936705,0.04146752373974314,0.047203034400936705,0.001
0,normal,US,core,22,tuning,13,0.10804104125734239,0.03781020223788871,0.03376506910228682,0.03781020223788871,0.001
0,normal,US,core,22,tuning,14,0.11051314107240837,0.04731726353176541,0.044063514444550034,0.04731726353176541,0.001
0,normal,US,core,22,tuning,15,0.09869811248584037,0.03934774717989504,0.03488416442640214,0.03934774717989504,0.001
0,normal,US,core,22,tuning,16,0.10139660634118051,0.03886939584883062,0.036815430490454666,0.03886939584883062,0.001
0,normal,US,core,22,tuning,17,0.08835403844387053,0.03339885921700097,0.03164126085699076,0.03339885921700097,0.001
0,normal,US,core,22,tuning,18,0.09306306906273461,0.032106676017844095,0.030867782027530575,0.032106676017844095,0.001
0,normal,US,core,22,tuning,19,0.08507354551726844,0.03066612414253639,0.03003349479862117,0.03066612414253639,0.001
0,normal,US,core,22,tuning,20,0.08031771632967588,0.030683940276241634,0.03131528294428064,0.030683940276241634,0.001
0,normal,US,core,22,tuning,21,0.08971986627883703,0.034420219550800366,0.03256266035522397,0.034420219550800366,0.001
0,normal,US,core,22,tuning,22,0.1199438080357684,0.03884879302908073,0.035272064939023476,0.03884879302908073,0.001
0,normal,US,core,22,tuning,23,0.08022241886328983,0.031102782539627057,0.03049059992604576,0.031102782539627057,0.001
0,normal,US,core,22,tuning,24,0.07927738333782083,0.030917448828016426,0.03087651707497039,0.030917448828016426,0.001
0,normal,US,core,22,tuning,25,0.14010605070210316,0.05005708536365503,0.04099907217319068,0.05005708536365503,0.001
0,normal,US,core,22,tuning,26,0.07535477487225059,0.030636351489631806,0.029643520278480686,0.030636351489631806,0.0005
0,normal,US,core,22,tuning,27,0.06663217936786837,0.03038281712365238,0.03022055304701267,0.03038281712365238,0.0005
